query,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
09668,09668,港股收盘 | 三大指数周线集体收涨 科技与黄金股表现居前,银行股逆势上扬息差扩张预期升温 截至收盘，中银香港(02388.HK)涨5.98%，九江银行(06190.HK)涨3.46%、渤海银行09668.HK)涨2.56%。,2026-07-24 16:38:00,财联社,http://finance.eastmoney.com/a/202607243820499058.html
09668,09668,银行信贷如何“读懂”新零售？,渤海银行（09668.HK）联合天津市交通运输委员会、天津市河北区人民政府和天津市数字交通经济研究院，依托中农批（天津）国际冻品交易市场（以下简称“中农批”），落地创新供应链金融产品“订单e贷”。,2026-07-18 02:16:30,中国经营网,http://finance.eastmoney.com/a/202607183811443411.html
09668,09668,渤海银行：独立非执行董事谢日康辞任,南财智讯6月30日电，渤海银行（09668.HK）公告，公司董事会宣布，谢日康先生因担任公司独立非执行董事满六年，根据《银行保险机构公司治理准则》关于独立董事累计任职不得超过六年的规定，辞任公司独立非执行董事、董事会审计和消费者权益保护委员会主任委员、董事会风险管理和绿色金融委员会委员及董事会关联交易控制委员会委员职务,2026-06-30 18:47:00,南方财经网,http://finance.eastmoney.com/a/202606303788491195.html
09668,09668,港股收盘 | 恒生科技指数跌超3% 银行医药股逆势走强,银行股逆势走强九江银行涨近3% 截至收盘，渤海银行09668.HK)涨2.86%，九江银行(06190.HK)涨2.22%，工商银行(01398.HK)涨1.16%。 消息方面，国泰海通证券对此指出，今年以来科技板块表现相对活跃，导致银行股整体承压。,2026-06-23 16:34:00,财联社,http://finance.eastmoney.com/a/202606233779736921.html
09668,09668,渤海银行：凌颖杰职工董事任职资格获核准,6月4日，渤海银行（09668）发布公告，近日收到国家金融监督管理总局关于凌颖杰担任公司董事任职资格的核准。凌颖杰自2026年6月2日起正式担任公司第六届董事会职工董事职务。,2026-06-04 18:42:00,财中社,http://finance.eastmoney.com/a/202606043760546442.html
09668,09668,渤海银行：完成发行90亿元人民币二级资本债券,南财智讯5月21日电，渤海银行（09668.HK）公告，公司已完成发行2026年二级资本债券，发行总规模为人民币90亿元，品种为10年期固定利率债券，票面利率为2.10%，于2026年5月21日正式起息。本次债券募集资金在扣除发行费用后，将全部用于补充本行二级资本。,2026-05-21 18:53:00,南方财经网,http://finance.eastmoney.com/a/202605213745367124.html
09668,09668,个贷利率跑不赢对公，渤海银行零售转型交了笔昂贵学费,2026年5月12日，渤海银行（09668）在官网发布了一份《互联网助贷业务合作机构名单公告》，列出了奇富科技系、字节跳动系、腾讯财付通等11家核心合作机构。,2026-05-20 16:21:00,财中社,http://finance.eastmoney.com/a/202605203743501987.html
09668,09668,国有大行首例，中国银行信用卡APP6月下线！信用卡权益缩水，行业存量卡3年锐减超1亿张,此前，邮储银行（601658.SH）加速推进信用卡客户端整合，渤海银行（09668.HK）、沪农商行（601825.SH）、北京农商银行等多家中小银行已完成独立信用卡APP关停下线工作。,2026-05-14 19:29:00,时代财经,http://finance.eastmoney.com/a/202605143737629071.html
09668,09668,渤海银行：2025年净利润同比增长4.61%,南财智讯4月29日电，渤海银行（09668.HK）公告，截至2025年12月31日止年度，公司营业收入为259.70亿元人民币，同比增长1.92%；年内溢利为54.98亿元人民币，同比增长4.61%。,2026-04-29 17:50:00,南方财经网,http://finance.eastmoney.com/a/202604293724642787.html
09668,09668,渤海银行：2025年净利润54.98亿元 同比增长4.61%,中证智能财讯渤海银行（09668）4月29日披露2025年度报告。,2026-04-29 18:36:47,中国证券报·中证网,http://finance.eastmoney.com/a/202604293724766664.html
