query,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
01334,01334,瑞昌国际控股：控股股东陆波增持137万股,6月9日，瑞昌国际控股（01334）发布公告，控股股东、执行董事、行政总裁及董事会主席陆波通过其控制法团于2026年6月5日及2026年6月8日在公开市场上购买公司137万股股份，增持股份的总代价约为144万港元。,2026-06-09 08:52:00,财中社,http://finance.eastmoney.com/a/202606093764316527.html
01334,01334,瑞昌国际控股：2026年7月31日派发股息0.04元/股,南财智讯3月20日电，瑞昌国际控股（01334.HK）公告，公司宣布截至2025年12月31日止年度末期股息，每股派发现金股息0.04元（人民币），股息派发日为2026年7月31日。除净日为2026年7月6日，记录日期为2026年7月10日。,2026-03-20 22:54:00,南方财经网,http://finance.eastmoney.com/a/202603203679248885.html
01334,01334,瑞昌国际控股：2025年净利润同比下降51.44% 拟每股派息0.04元,中证智能财讯瑞昌国际控股（01334）3月20日披露2025年度报告。报告期内，公司实现营业收入5.02亿元，同比增长13.01%；归母净利润501.6万元，同比下降51.44%；据报告显示，瑞昌国际控股基本每股收益为0.01元，平均净资产收益率为1.33%。,2026-03-23 14:45:24,中国证券报·中证网,http://finance.eastmoney.com/a/202603233680833773.html
01334,01334,瑞昌国际控股：预计2025年纯利降至400万元至550万元,3月11日，瑞昌国际控股（01334）发布公告，预计截至2025年12月31日止年度的纯利将在400万元至550万元之间，而截至2024年12月31日止年度的纯利约为1030万元，这意味着纯利减少约46.6%至61.2%。,2026-03-11 19:30:53,财中社,http://finance.eastmoney.com/a/202603113668975645.html
01334,01334,下游需求疲软致客户延缓下单，瑞昌国际控股预计去年纯利近乎“腰斩”,3月11日瑞昌国际控股（01334）发布业绩预告，预计2025年纯利同比近乎“腰斩”。,2026-03-11 23:44:09,深圳商报·读创,http://finance.eastmoney.com/a/202603113669182260.html
