query,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
02251,02251,71家港股公司出手回购（7月20日）,3.180 194.80 01382 互太纺织 16.20 15.69 0.970 0.960 783.83 00623 中视金桥 7.40 13.99 1.890 1.890 2734.61 01066 威高股份 4.00 13.76 3.440 3.440 12621.82 02251,2026-07-21 09:38:00,证券时报网,http://finance.eastmoney.com/a/202607213814389186.html
02251,02251,61家港股公司出手回购（7月16日）,4.180 3.950 401.22 03309 希玛医疗 12.00 11.58 0.980 0.950 335.19 02416 易点云 3.20 10.31 3.240 3.180 8252.97 09960 康圣环球 5.80 5.63 0.980 0.960 74.53 02251,2026-07-17 09:11:00,证券时报网,http://finance.eastmoney.com/a/202607173809876387.html
02251,02251,7月15日港股回购一览,7.160 157.93 02566 九源基因 4.50 25.69 5.900 5.430 4762.12 02235 微泰医疗-B 3.46 24.55 7.100 7.000 2103.48 00623 中视金桥 12.30 23.25 1.890 1.890 2670.56 02251,2026-07-16 09:08:00,证券时报网,http://finance.eastmoney.com/a/202607163808323712.html
02251,02251,7月10日港股回购一览,17.470 4650.72 09922 九毛九 40.60 50.14 1.240 1.230 11050.64 01516 融创服务 60.00 49.20 0.820 0.820 5067.29 02273 固生堂 1.44 43.82 30.480 30.300 36679.26 02251,2026-07-13 09:25:00,证券时报网,http://finance.eastmoney.com/a/202607133802801777.html
02251,02251,79家港股公司回购 斥资3.50亿港元,2.500 1308.79 02150 奈雪的茶 85.70 56.89 0.670 0.650 734.84 09669 北森控股 15.00 52.62 3.560 3.470 3403.67 01167 加科思-B 10.17 49.88 4.920 4.890 2467.59 02251,2026-07-09 09:24:00,证券时报网,http://finance.eastmoney.com/a/202607093799310859.html
02251,02251,96家港股公司回购 腾讯控股回购5.01亿港元,1241.20 00772 阅文集团 1.16 23.76 20.500 20.460 20960.50 02256 和誉-B 2.00 22.76 11.680 11.180 474.10 01541 宜明昂科-B 6.36 22.16 3.530 3.430 614.49 02251,2026-07-10 09:04:00,证券时报网,http://finance.eastmoney.com/a/202607103800876317.html
02251,02251,84家港股公司回购 快手-W回购1.99亿港元,0.910 617.14 02429 友宝在线 18.30 45.75 2.500 2.500 1230.76 02219 朝聚眼科 18.00 45.66 2.550 2.500 558.13 01066 威高股份 14.20 45.11 3.220 3.130 12286.23 02251,2026-07-08 09:31:00,证券时报网,http://finance.eastmoney.com/a/202607083797694819.html
02251,02251,71家港股公司回购 斥资3.83亿港元,12241.12 00086 新鸿基公司 7.50 30.19 4.040 4.010 1242.07 02291 心泰医疗 2.70 28.30 10.550 10.380 1236.70 00314 思派健康 20.00 26.88 1.350 1.320 4358.15 02251,2026-07-07 09:21:00,证券时报网,http://finance.eastmoney.com/a/202607073796004568.html
02251,02251,74家港股公司出手回购（7月3日）,921.49 02408 遇见小面 16.05 49.12 3.270 3.000 7834.00 01907 中国旭阳集团 20.70 39.54 1.910 1.910 4860.95 02590 极智嘉-W 3.00 36.23 12.120 11.850 3967.24 02251,2026-07-06 09:06:00,证券时报网,http://finance.eastmoney.com/a/202607063794405721.html
02251,02251,6月30日港股回购一览,3.490 7744.16 02150 奈雪的茶 68.20 43.79 0.650 0.630 632.26 02429 友宝在线 15.80 40.12 2.560 2.500 1049.92 02282 美高梅中国 3.81 38.52 10.190 10.030 342.21 02251,2026-07-02 09:11:00,证券时报网,http://finance.eastmoney.com/a/202607023791112672.html
