query,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
02259,02259,港股黄金股走强 紫金黄金国际涨近5%,截至发稿，紫金黄金国际02259.HK)涨4.84%，珠峰黄金(01815.HK)涨3.37%，赤峰黄金(06693.HK)涨3.27%。,2026-07-30 09:38:54,财联社,http://finance.eastmoney.com/a/202607303826105694.html
02259,02259,紫金黄金国际终止收购Allied Gold，改以4.166亿加元认购9.2%股权,7月29日，紫金黄金国际（02259）和紫金矿业（601899/02899）发布联合公告，紫金黄金国际终止收购Allied Gold Corporation。 公告提到，自安排协议签署以来，紫金黄金国际与Allied Gold积极推进交割相关事宜。,2026-07-29 19:56:00,财中社,http://finance.eastmoney.com/a/202607293825277586.html
02259,02259,港股黄金股走强 赤峰黄金涨超15%,截至发稿，赤峰黄金(06693.HK)涨15.20%，紫金黄金国际02259.HK)涨14.33%，灵宝黄金(03330.HK)涨13.99%，潼关黄金(00340.HK)涨7.81%。,2026-07-22 10:31:52,财联社,http://finance.eastmoney.com/a/202607223816938894.html
02259,02259,港股收盘 | 三大指数集体收涨 老铺黄金单日大跌近24%,美联储决议前资金趋于谨慎紫金黄金国际跌近4% 截至收盘，紫金黄金国际02259.HK)跌3.63%，灵宝黄金(03330.HK)跌2.90%，珠峰黄金(01815.HK)跌2.78%。 近期美伊局势释放出阶段性缓和信号。,2026-07-28 16:38:00,财联社,http://finance.eastmoney.com/a/202607283823555539.html
02259,02259,港股黄金股走强多股涨逾7% 大市震荡资金面仍有避险动作,截至发稿，紫金黄金国际02259.HK)涨超11%，招金矿业(01818.HK)涨近10%，山东黄金(01787.HK)等多只黄金股跟涨7%以上。 消息面上，现货黄金价格涨1.42%，报4064.22美元/盎司，在4000美元关口获得支撑。,2026-07-21 14:57:00,财联社,http://finance.eastmoney.com/a/202607213815474737.html
02259,02259,现货金价强势反弹 赤峰黄金涨超15%领跑港股黄金股,截至发稿，灵宝黄金(03330.HK)涨14.29%，赤峰黄金(06693.HK)涨14.41%，紫金黄金国际02259.HK)涨13.03%，潼关黄金(00340.HK)涨7.81%。 消息方面，金价层面的持续拉升为板块大涨提供了直接催化剂。,2026-07-22 11:01:00,财联社,http://finance.eastmoney.com/a/202607223816982523.html
02259,02259,港股收盘 | 三大指数集体走弱 滔搏单日下挫超24%,避险升温与大宗商品双轮驱动黄金股全线走强 截至收盘，赤峰黄金(06693.HK)涨15.42%，灵宝黄金(03330.HK)涨15.13%，紫金黄金国际02259.HK)涨9.24%。 消息方面，金价层面的持续拉升为板块大涨提供了直接催化剂。,2026-07-22 16:31:00,财联社,http://finance.eastmoney.com/a/202607223817301026.html
02259,02259,港股黄金股全线走低,黄金股全线走低，截至发稿，潼关黄金(00340.HK)跌3.16%，报1.84港元；山东黄金(01787.HK)跌3.05%，报17.81港元；紫金黄金国际02259.HK)跌2.85%，报95.5港元；紫金矿业(02899.HK)跌2.73%，报29.18港元；赤峰黄金(06693,2026-07-13 11:28:26,每日经济新闻,http://finance.eastmoney.com/a/202607133803426587.html
02259,02259,紫金黄金国际：2026年半年度净利同比预增169%—169%,南财智讯7月9日电，紫金黄金国际（02259.HK）发布业绩预增公告，预计2026年1月1日至2026年6月30日实现母公司拥有人应占溢利约14亿美元，与上年同期约5.2亿美元相比，同比增长约169%。,2026-07-09 17:23:00,南方财经网,http://finance.eastmoney.com/a/202607093800119763.html
02259,02259,紫金黄金国际：预计上半年归母净利润约14亿美元 同比增169%,7月9日，紫金黄金国际（02259）发布公告，预计截至2026年6月30日止的半年度实现母公司拥有者应占溢利约14亿美元，与上年同期相比将增加约8.8亿美元，同比增加约169%。,2026-07-09 17:36:00,财中社,http://finance.eastmoney.com/a/202607093800138675.html
