query,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
02582,02582,审计费分歧成“导火索” 国富氢能拟更换核数师,7月27日，国富氢能（02582）发布公告，公司董事会提议罢免德勤·关黄陈方会计师行作为公司的核数师，并建议委任容诚（香港）会计师事务所有限公司为新核数师。德勤的审计费用预计在288万元至323万元之间，而容诚香港的审计费用则在168万元至248万元，明显低于德勤的费用。,2026-07-28 09:07:00,财中社,http://finance.eastmoney.com/a/202607283822967237.html
02582,02582,国富氢能：获联交所批准1841.68万股H股全流通上市,南财智讯6月17日电，国富氢能（02582.HK）发布内幕消息公告，公司已获香港联合交易所于2026年6月16日授予上市批准，同意将22名股东持有的合计1841.68万股内资股转换为H股并上市买卖；该等转换H股占公司当前已发行总股本约14.54%；转换及上市完成后，H股总数将由10144.88,2026-06-17 18:43:00,南方财经网,http://finance.eastmoney.com/a/202606173774707416.html
02582,02582,国富氢能签署综合能源协议 开拓泰国数据中心市场,5月27日，国富氢能（02582）发布公告，宣布与独立第三方泰国正大能源与水务亚洲有限公司及公司的一家联营公司HydroData签订了一份综合能源解决方案协议。,2026-05-27 09:24:00,财中社,http://finance.eastmoney.com/a/202605273750569652.html
02582,02582,国富氢能：获中国证监会H股全流通备案通知 涉及1841.68万股内资股,南财智讯5月11日电，国富氢能（02582.HK）发布内幕消息公告，公司于2026年5月11日收到中国证监会出具的H股全流通备案通知书（出具日期为2026年4月27日），完成就22名股东持有的1841.68万股内资股（约占公司已发行股本总额的14.54%）转换为可在联交所上市及买卖的,2026-05-11 18:58:00,南方财经网,http://finance.eastmoney.com/a/202605113733239364.html
02582,02582,氢能失宠了？融资额和锂电相差100倍，投资人喊出三个“不看”,作为涌金集团旗下专业从事私募股权投资的基金管理公司，涌铧投资是氢能领域的活跃投资方，曾投资国鸿氢能(09663.HK)与国富氢能02582.HK)、鸿基创能、神通新能源、上海氢锐等多家氢能企业。,2026-05-18 19:08:26,界面新闻,http://finance.eastmoney.com/a/202605183740651995.html
02582,02582,国富氢能业务披露：附属公司签署1.5亿元绿电设备销售协议 中东建厂布局氢能无人机,5月5日，国富氢能（02582）发布公告，董事会宣布公司间接全资附属公司新疆国富铭志氢能科技有限公司于2026年5月4日与独立第三方客户九疆电力建设（陕西）有限公司签署了一份销售协议，提供300MW新能源耦合绿色电力项目的全套设备，交易金额为1.5亿元。,2026-05-06 08:53:00,财中社,http://finance.eastmoney.com/a/202605063728084314.html
02582,02582,国富氢能签署1.5亿元绿电设备销售协议 目前在手订单约5.6亿元,近日，国富氢能（02582.HK）发布公告，5月4日，公司间接全资附属公司新疆国富铭志氢能科技有限责任公司已订立一份销售协议，以向独立第三方客户九疆电力建设（陕西）有限公司提供300MW新能源耦合绿色电力项目的全套设备，合同金额为1.5亿元。,2026-05-07 18:37:00,证券时报网,http://finance.eastmoney.com/a/202605073730256091.html
02582,02582,国富氢能：订单支撑能力持续增强 海内外业务齐突破,本报讯 2026年5月5日，江苏国富氢能技术装备股份有限公司（以下简称“国富氢能”，02582.HK）发布自愿性业务公告，集中披露近期重大项目签约、海外产能落地、在手订单规模及年度发展目标。,2026-05-07 19:08:00,证券日报,http://finance.eastmoney.com/a/202605073730296884.html
02582,02582,氢能四龙头营收集体下滑 商业化拐点还未到来,其次分别是亿华通(02402.HK)同比下降29.49%至2.59亿元，国富氢能02582.HK)同比下降24.50%至3.46亿元，重塑能源(02570.HK)同比下降8.3%至5.95亿元。,2026-05-07 11:34:10,界面新闻,http://finance.eastmoney.com/a/202605073729854256.html
02582,02582,国富氢能：拟认购U Power Limited约219.51万股股份 总代价360万美元,南财智讯4月27日电，国富氢能（02582.HK）发布须予披露交易公告，公司全资附属公司国富氢能香港与目标公司UPowerLimited（纳斯达克代码：UCAR）于2026年4月27日订立认购协议，拟以总代价约360万美元认购目标公司约219.51万股A类普通股（每股面值0.0001,2026-04-27 23:01:00,南方财经网,http://finance.eastmoney.com/a/202604273720862248.html
