query,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
02533,02533,黑芝麻智能预计上半年收入增长不低于81.1% 净亏损7.2亿至8.2亿元,7月30日，黑芝麻智能（02533）发布公告，预计公司在截至2026年6月30日的六个月内收入不低于4.58亿元，较2025年同期增长不低于81.1%。与此同时，预计净亏损约为7.2亿元至8.2亿元，与上年同期的7.62亿元相比基本保持稳定。,2026-07-31 08:54:00,财中社,http://finance.eastmoney.com/a/202607313827502092.html
02533,02533,黑芝麻智能：创始人自愿延长禁售期12个月,"南财智讯7月30日电，黑芝麻智能（02533.HK）发布自愿公告，公司创始人、董事长、执行董事兼首席执行官单记章先生自愿进一步延长其禁售承诺，自2026年8月8日起至2027年8月7日止，为期12个月，涉及股份4,410.00万股。",2026-07-30 12:11:00,南方财经网,http://finance.eastmoney.com/a/202607303826428170.html
02533,02533,黑芝麻智能2026年半年度盈利预告：核心业务高增，长期信心坚定,7月30日，黑芝麻智能（02533.HK）发布2026年半年度盈利预告。2026年上半年收入预计超过4.58亿元，同比增长超过81.1%；净亏损预计不超过8.2亿元，基本与上年同期保持稳定。智能汽车与具身智能双赛道增长动能充沛，业务基本面整体向好。,2026-07-31 10:37:46,经济参考网,http://finance.eastmoney.com/a/202607313828049118.html
02533,02533,港股黑芝麻智能涨超5%,7月20日，黑芝麻智能02533.HK)涨超5%，截至发稿，涨4.19%，报11.19港元，报3043.12万港元。,2026-07-20 11:07:25,每日经济新闻,http://finance.eastmoney.com/a/202607203812672879.html
02533,02533,黑芝麻智能完成收购亿智电子,7月14日，《每日经济新闻》记者获悉，黑芝麻智能（02533.HK）完成对亿智电子的收购事项。此次收购是黑芝麻智能完善端侧AI（人工智能）布局、拓展全场景推理算力覆盖的关键战略举措。,2026-07-14 18:53:19,每日经济新闻,http://finance.eastmoney.com/a/202607143805792081.html
02533,02533,复牌收两连板！主业增长乏力，五洲医疗拟砸3.9亿跨界半导体，元禾璞华隐身其后,其投资案例包括强一股份（688809.SH）、江南新材（603124.SH）、黑芝麻智能（02533.HK）等。 这已经不是嘉兴汇芯首次现身资本市场。 2025年11月5日晚间，梦天家居曾公告，因筹划发行股份及支付现金购买资产及实控人筹划控制权变更停牌。,2026-07-23 18:57:00,时代财经,http://finance.eastmoney.com/a/202607233819076896.html
02533,02533,机会速递 | 6月原煤产量同比骤降9.7%，板块兼具“旺季进攻+红利防守”双重属性；险企盈利与分红预期向好，国新及诚通超600亿增持央企；上半年38款创新药获批上市，国产占比超八成；多家游戏公司预计业绩大幅增长，机构指板块估值有望修复,黑芝麻智能02533：携全系核心芯片产品亮相WAIC，同步展出SesameX多维具身智能计算平台 近日，据黑芝麻智能官微消息，在WAIC 2026大会上，黑芝麻智能携全系核心芯片产品、自研前沿算法、量产级跨域融合方案及具身智能创新应用重磅参展。,2026-07-20 16:47:03,哈富证券,http://finance.eastmoney.com/a/202607203813322480.html
02533,02533,港股黑芝麻智能早盘涨超6%,6月29日，黑芝麻智能02533.HK)早盘涨超6%，截至发稿，涨4.14%，报10.810港元，成交额4708万港元。,2026-06-29 10:10:17,每日经济新闻,http://finance.eastmoney.com/a/202606293785994337.html
02533,02533,黑芝麻智能02533.HK)5月14日回购425.56万港元，已连续2日回购,证券时报·数据宝统计，黑芝麻智能在港交所公告显示，5月14日以每股17.600港元至17.700港元的价格回购24.09万股，回购金额达425.56万港元。该股当日收盘价17.650港元，下跌0.84%，全天成交额7030.42万港元。 自5月13日以来公司已连续2日进行回购，,2026-05-14 21:25:00,证券时报网,http://finance.eastmoney.com/a/202605143737721667.html
02533,02533,黑芝麻智能02533.HK)5月13日回购128.38万股，耗资2264.49万港元,证券时报·数据宝统计，黑芝麻智能在港交所公告显示，5月13日以每股17.240港元至17.860港元的价格回购128.38万股，回购金额达2264.49万港元。该股当日收盘价17.800港元，上涨0.17%，全天成交额1.30亿港元。 今年以来该股累计进行2次回购，合计回购155.50,2026-05-14 10:11:00,证券时报网,http://finance.eastmoney.com/a/202605143737074053.html
