query,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
02556,02556,港股收盘 | 科技指数全周涨超4%领跑 AI硬件股跌幅居前,迈富时02556.HK)在本周累计上涨13.52%，公司作为AI SaaS龙头，受益于企业级营销大模型与SaaS解决方案商业化落地提速，市场对其业绩增长与AI赋能预期保持乐观。,2026-07-31 16:34:00,财联社,http://finance.eastmoney.com/a/202607313828344762.html
02556,02556,港股迈富时涨超33%,7月16日，迈富时02556.HK)午后涨幅扩大逾33%，截至发稿涨29.04%，报40.52港元，成交额11.53亿港元。,2026-07-16 14:45:44,每日经济新闻,http://finance.eastmoney.com/a/202607163808986193.html
02556,02556,迈富时：预计2026年上半年收入18.58亿至20.54亿元 同比增长100%至121%,南财智讯7月15日电，迈富时（02556.HK）发布内幕消息公告，预计集团截至2026年6月30日止六个月收入介于人民币18.58亿元至20.54亿元，同比增长100%至121%；其中AI应用业务收入预计介于人民币10.68亿元至11.80亿元，同比增长112%至134%；母公司拥有人应占利润预计介于人民币,2026-07-15 22:12:00,南方财经网,http://finance.eastmoney.com/a/202607153807789668.html
02556,02556,迈富时：上半年归母净利润同比预增386%至494%,7月15日，迈富时（02556）发布公告，公司预计2026年上半年收入约18.58亿元至20.54亿元，同比增长100%至121%；预计归母净利润1.82亿元至2.22亿元，同比增长386%至494%。,2026-07-16 09:26:00,财中社,http://finance.eastmoney.com/a/202607163808388516.html
02556,02556,港股收盘 | 恒指涨1.33%站上25000点 汽车股涨幅居前,迈富时涨超30% 预计上半年收入和净利大增 迈富时02556.HK)涨30.57%，报收41港元。消息面上，该公司预计上半年收入18.58亿至20.54亿元人民币，同比增长100%至121%；纯利1.82亿至2.22亿元，同比增长386%至494%。,2026-07-16 16:35:00,财联社,http://finance.eastmoney.com/a/202607163809089550.html
02556,02556,港股AI概念股走低 迅策跌近7%,截至发稿，迅策(03317.HK)跌6.63%，五一视界(06651.HK)跌5.45%，迈富时02556.HK)跌4.79%。,2026-06-08 09:23:57,财联社,http://finance.eastmoney.com/a/202606083762847535.html
02556,02556,港股评级汇总：国海证券首予中芯国际买入评级,中国银河证券：首予迈富时推荐评级目标价 94.58-166.27 港元 中国银河证券就迈富时 02556.HK) 发布研报称，公司是中国 SaaS 营销龙头，成功从传统服务商转型为 AI 原生应用平台。AI 驱动营收及盈利能力显著提升，KA 客户数量和单价量价齐升。,2026-06-09 15:11:00,财联社,http://finance.eastmoney.com/a/202606093766651828.html
02556,02556,港股AI应用股全面爆发！港股通信息技术ETF华夏（526000）“含量”高,6月1日，港股AI应用股集体走强，其中，美图公司(1357.HK)涨超23%，金蝶国际（00268.HK）涨超20%，中国软件国际（00354.HK）涨超16%，迈富时（02556.HK）涨近15%，金山云（03896.HK）、金山软件（03888.HK）、明源云（00909.HK,2026-06-01 13:53:00,21世纪经济报道,http://finance.eastmoney.com/a/202606013755949567.html
02556,02556,迈富时涨超6%,5月19日，迈富时02556.HK)涨超6%，截至发稿，涨5.9%，报44.7港元，成交额1.51亿港元。,2026-05-19 10:18:16,每日经济新闻,http://finance.eastmoney.com/a/202605193741673535.html
02556,02556,港股迈富时涨超6%,5月18日，迈富时02556.HK)涨超6%，截至发稿涨6.17%，报43.04港元，成交额2.28亿港元。,2026-05-18 13:44:50,每日经济新闻,http://finance.eastmoney.com/a/202605183740269333.html
