query,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
01497,01497,燕之屋：预计2026年中期净利润约1.05亿至1.16亿元，同比增长约35%至50%,南财智讯7月17日电，燕之屋（01497.HK）发布正面盈利预告公告，公司预计截至2026年6月30日止六个月（2026年中期期间）录得净利润约人民币1.05亿至1.16亿元，较2025年同期增长约35%至50%；同期收入预计约人民币11.67亿至12.17亿元，同比增长最多约15%,2026-07-17 21:39:00,南方财经网,http://finance.eastmoney.com/a/202607173811328952.html
01497,01497,亦诺微医药、保济元和递表港交所；月之暗面预计在港IPO丨港交所早参,NO.4 燕之屋预期中期净利润同比增长约35%至50% 7月17日，燕之屋（HK01497）公告称，2026年上半年，集团预期将取得收入约11.67亿元至12.17亿元，同比增长最多约15%至20%；预期将取得净利润约1.05亿元至1.16亿元，同比增长约35%至50%。,2026-07-20 07:01:56,每日经济新闻,http://finance.eastmoney.com/a/202607203811931338.html
01497,01497,燕之屋预告利润大涨，股价却大跌近6%,近日，“燕窝第一股”燕之屋（01497.HK）发布2026年上半年正面盈利预告，经营数据迎来阶段性回暖。,2026-07-20 23:17:00,国际金融报,http://finance.eastmoney.com/a/202607203813740244.html
01497,01497,燕之屋计划回购不超1亿港元H股,5月11日，燕之屋（01497）发布公告，公司计划在公开市场回购H股，回购金额不超过1亿港元，回购的总股数不超过4617万股H股，占公司已发行H股总数的10%。 公司表示，目前现金流健康，整体财务状况稳健，能够满足业务持续发展的需求。,2026-05-12 09:43:00,财中社,http://finance.eastmoney.com/a/202605123734117530.html
01497,01497,燕之屋：拟以不超1亿港元回购H股,南财智讯5月11日电，燕之屋（01497.HK）发布自愿公告，公司董事会根据2026年5月11日年度股东大会授予的回购H股一般授权，拟自公告日起至授权到期日止，在公开市场以不超过1.00亿港元回购H股；回购总股数不超过4616.93万股H股，即不超过年度股东大会当日已发行H股总数的,2026-05-11 23:13:00,南方财经网,http://finance.eastmoney.com/a/202605113733462357.html
01497,01497,燕之屋大跌11%！去年雇员减少234人，明星代言难换营收增长？,3月25日，“燕窝第一股”燕之屋（01497）低开低走，盘中一度跌超11%，截至发稿报5.35港元/股，总市值24.7亿港元。 公开资料显示，燕之屋于2023年12月在港股上市，发售价为9.7港元/股。,2026-03-25 14:07:47,深圳商报·读创,http://finance.eastmoney.com/a/202603253683924370.html
01497,01497,燕之屋：2026年6月5日派发股息0.266元/股,南财智讯3月17日电，燕之屋（01497.HK）公告，公司宣布截至2025年12月31日止年度末期股息，每股派发现金股息0.266元（人民币），以每10股2.66元折算。股息派发日为2026年6月5日，除净日为2026年5月14日，记录日期为2026年5月21日。,2026-03-17 22:06:12,南方财经网,http://finance.eastmoney.com/a/202603173674918172.html
01497,01497,燕之屋减员200人、销售开支砸6亿：王石代言的“总裁燕窝”年销仅百余份,日前，“燕窝第一股”燕之屋（01497）公布业绩报告，2025年收入比上年缩水了5000多万至20亿元，而净利润则逆势增长。 公司全年减员200多名，毛利率同比增长超4个百分点。,2026-03-25 15:04:00,财中社,http://finance.eastmoney.com/a/202603253683980093.html
01497,01497,燕之屋2025年收入下降2.41% 权益股东应占溢利1.89亿元,3月17日，燕之屋（01497）发布截至2025年12月31日止年度的年度业绩公告。公司收入由截至2024年12月31日止年度的20.5亿元减少2.41%至20.01亿元，主要由于宏观消费结构调整及高端消费品需求放缓。,2026-03-18 09:58:04,财中社,http://finance.eastmoney.com/a/202603183675655677.html
01497,01497,燕之屋：2025年净利润同比增长20.64% 拟每股派息0.266元,中证智能财讯燕之屋（01497）3月17日披露2025年度报告。报告期内，公司实现营业收入20.01亿元，同比下降2.41%；归母净利润1.89亿元，同比增长20.64%；据报告显示，燕之屋基本每股收益为0.41元，平均净资产收益率为24.52%。,2026-03-18 09:07:48,中国证券报·中证网,http://finance.eastmoney.com/a/202603183675409913.html
