query,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
03658,03658,新希望服务：2026年7月7日将派发股息0.08857港元/股,南财智讯6月16日电，新希望服务（03658.HK）公告，公司将于2026年7月7日派发截至2025年12月31日止年度的末期股息，每股派发0.08857港元。,2026-06-16 18:37:00,南方财经网,http://finance.eastmoney.com/a/202606163773189616.html
03658,03658,新希望服务7484万元“债转股”，刘永好家族几近“包圆”成都明宇环球商业,4月17日，刘永好家族旗下港股公司——新希望服务（03658.HK）发布公告，董事会欣然宣布，于2026年4月16日，公司有条件同意收购及卖方有条件同意进一步出售目标公司成都明宇环球商业管理有限公司（以下简称：明宇环球商业）的45.5%股权，总对价为人民币7484.78万元。,2026-04-17 14:10:58,深圳商报·读创,http://finance.eastmoney.com/a/202604173708810116.html
03658,03658,新希望乳业赴港IPO：身价770亿的刘永好家族一手借钱一手分红,除了新乳业，刘永好父女还控股4家上市公司，包括新希望（000876）、华融化学（301256）、新希望服务（03658）和飞马国际（002210）。 “新希望”低温奶护城河何在 在业务层面，新希望乳业的核心标签是“低温奶”。,2026-04-14 15:22:00,财中社,http://finance.eastmoney.com/a/202604143704335892.html
03658,03658,刘永好资本版图扩围，新乳业递交H股上市申请,新乳业年报显示，截至2025年末，刘永好控股新希望、飞马国际及华融化学，与LiuChang（刘畅，刘永好女儿）共同控制新乳业和新希望服务（03658.HK)，曾控股华创云信和兴源环境。 新乳业专门从事乳制品及含乳饮料的研发、生产和销售。,2026-04-03 09:10:33,中国证券报·中证金牛座,http://finance.eastmoney.com/a/202604033694349827.html
03658,03658,新希望服务：2025年净利润同比下降4.72% 拟每股派息0.077元,中证智能财讯新希望服务（03658）3月30日披露2025年度报告。报告期内，公司实现营业收入15.4亿元，同比增长4.03%；归母净利润2.16亿元，同比下降4.72%；据报告显示，新希望服务基本每股收益为0.265元，平均净资产收益率为17.06%。,2026-04-02 18:01:14,中国证券报·中证网,http://finance.eastmoney.com/a/202604023693553428.html
03658,03658,新希望服务：去年收入15.4亿元，预计今年实现2.4亿元的收入转化,3月31日，新希望服务（03658.HK）召开2025年全年业绩发布会。 在前一日发布的财报显示，2025年，新希望服务收入达15.4亿元，较2024年同期增加4%；毛利约4.6亿元，同比增加1.6%；公司权益股东应占净利润约2.2亿元，同比减少4.7%。,2026-03-31 19:43:00,澎湃新闻,http://finance.eastmoney.com/a/202603313690632591.html
03658,03658,新希望服务：联席公司秘书刘国贤辞任,南财智讯3月23日电，新希望服务（03658.HK）公告，刘国贤先生已请辞公司联席公司秘书及上市规则第3.05条项下的授权代表，自2026年3月23日起生效；刘先生与董事会无意见分歧，亦无须提请股东关注事项；董事会感谢其任职期间所作贡献；李红佳先生将接任为唯一公司秘书及授权代表。,2026-03-23 18:26:00,南方财经网,http://finance.eastmoney.com/a/202603233681077583.html
03658,03658,75岁四川前首富又要IPO了，刘永好父女带新希望乳业赴港，去年营收超112亿元,目前，新希望集团直接及间接控股的上市公司达5家，分别是新希望六和（000876.SZ）、华融化学（301256.SZ）、新乳业（002946.SZ）、新希望服务（03658.HK）、飞马国际（002210.SZ）等。,2026-04-04 08:11:00,时代财经,http://finance.eastmoney.com/a/202604043695520579.html
