query,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
09985,09985,港股收盘 | 科技指数全周涨超4%领跑 AI硬件股跌幅居前,风格向科技主线切换毛戈平跌超4% 截至收盘，毛戈平(01318.HK)跌4.16%、鸣鸣很忙(01768.HK)跌2.57%，卫龙美味09985.HK)跌2.53%。 消息方面，今日市场资金集中向科技与算力主线靠拢，消费板块资金流出明显。,2026-07-31 16:34:00,财联社,http://finance.eastmoney.com/a/202607313828344762.html
09985,09985,港股收盘 | 科技指数领涨市场 存储及光通信股承压回调,新消费相关个股反弹蜜雪集团涨近16% 截至收盘，布鲁克(00325.HK)涨15.93%，蜜雪集团(02097.HK)涨7.71%，卫龙美味09985.HK)涨7.43%。,2026-07-29 16:26:00,财联社,http://finance.eastmoney.com/a/202607293825124869.html
09985,09985,79家港股公司回购 斥资7.59亿港元,5385.39 02291 心泰医疗 26.20 278.52 10.690 10.240 1020.07 02038 富智康集团 15.00 267.17 18.180 17.620 3400.66 01921 达力普控股 83.60 260.06 3.210 3.050 4284.03 09985,2026-07-03 09:26:00,证券时报网,http://finance.eastmoney.com/a/202607033792855936.html
09985,09985,6月30日港股回购一览,2.481 440.27 01945 清科控股 15.20 22.12 1.670 1.370 753.77 00869 彩星玩具 45.20 21.70 0.480 0.480 2088.55 00711 亚洲联合基建控股 53.60 21.29 0.405 0.375 178.82 09985,2026-07-02 09:11:00,证券时报网,http://finance.eastmoney.com/a/202607023791112672.html
09985,09985,92家港股公司回购 斥资10.66亿港元,4945.43 00086 新鸿基公司 26.00 104.07 4.030 3.990 1048.04 03378 翰思艾泰-B 3.72 102.33 27.920 26.300 4615.11 09669 北森控股 28.00 100.87 3.630 3.580 3066.76 09985,2026-06-30 09:08:00,证券时报网,http://finance.eastmoney.com/a/202606303787507741.html
09985,09985,106家港股公司回购 腾讯控股回购5.01亿港元,2135.69 01873 维亚生物 152.60 169.44 1.120 1.090 4742.60 00340 潼关黄金 86.60 149.49 1.760 1.680 796.92 00086 新鸿基公司 37.00 147.85 4.050 3.960 943.97 09985,2026-06-29 08:58:00,证券时报网,http://finance.eastmoney.com/a/202606293785695121.html
09985,09985,业绩越“爽”，股价越“凉”？卫龙美味年内股价跌超三成，2亿港元回购能否救场,日前，卫龙美味09985.HK)公告，公司于6月11日股东大会审议通过股份购回一般授权，授权董事回购不超过已发行股份总数10%的股份，即24311.46万股。,2026-06-22 11:53:03,深圳商报·读创,http://finance.eastmoney.com/a/202606223777768838.html
09985,09985,100家港股公司回购 腾讯控股回购5.01亿港元,3270.61 02576 太美医疗科技 18.54 111.51 6.150 5.830 350.37 02190 归创通桥 6.25 111.15 18.070 17.570 11284.26 09669 北森控股 30.00 108.19 3.650 3.550 2893.31 09985,2026-06-26 08:59:00,证券时报网,http://finance.eastmoney.com/a/202606263783844826.html
09985,09985,工大高科20cm涨停创历史新高，芯望投资2.37亿元受让股权，云锋基金现身背后,该基金聚焦硬科技、人工智能、绿色能源、企业服务、医疗健康及新消费等领域，累计投资海内外近300家企业，其中包括搜狗、宁德时代（300750.SZ；03750.HK）、小鹏集团（09868.HK）、药明康德（603259.SH；02359.HK）、小米集团（01810.HK）、追觅、卫龙（09985,2026-06-22 18:42:00,时代财经,http://finance.eastmoney.com/a/202606223778200044.html
09985,09985,卫龙美味：6月29日将派发股息0.1955港元/股,南财智讯6月11日电，卫龙美味（09985.HK）公告，公司将于2026年6月29日派发截至2025年12月31日止年度的末期股息，每股派发0.1955港元。本次股息以港元派发，除净日为2026年6月15日，记录日期为2026年6月18日。,2026-06-11 20:25:00,南方财经网,http://finance.eastmoney.com/a/202606113768505893.html
