query,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
02271,02271,众安智慧生活：完成两次配售缓解股权集中,南财智讯6月30日电，众安智慧生活（02271.HK）发布自愿公告，为解决2025年8月27日股权高度集中情况，公司先后完成两次股份配售。,2026-06-30 21:01:12,南方财经网,http://finance.eastmoney.com/a/202606303788596468.html
02271,02271,6月16日券商研报对A股公司盈利预测一览：下调18家，上调11家,0% - - 下调 兔宝宝 002043.SZ 东吴证券 黄诗涛 2026-06-16 0.85 -4.71% 7.050 0% - - 上调 北新建材 000786.SZ 东吴证券 黄诗涛 2026-06-16 2.04 3.92% 34.740 0% - - 下调 东方雨虹 002271,2026-06-17 10:19:55,每日经济新闻,http://finance.eastmoney.com/a/202606173774193268.html
02271,02271,众安智慧生活：7月9日将派发股息0.0169港元/股,南财智讯3月26日电，众安智慧生活（02271.HK）公告，公司将于2026年7月9日派发截至2025年12月31日止年度的末期股息，每股派发0.0169港元。除净日为2026年6月11日，股东登记截止日为2026年6月18日。,2026-03-26 23:22:00,南方财经网,http://finance.eastmoney.com/a/202603263686010250.html
02271,02271,众安智慧生活：2025年净利润3149.7万元 同比下降17.26%,中证智能财讯众安智慧生活（02271）3月26日披露2025年度报告。报告期内，公司实现营业收入4.72亿元，同比增长14.59%；归母净利润3149.7万元，同比下降17.26%；据报告显示，众安智慧生活基本每股收益为0.061元，平均净资产收益率为10.32%。,2026-03-27 09:25:12,中国证券报·中证网,http://finance.eastmoney.com/a/202603273686589457.html
02271,02271,一年多大涨20倍 超级牛股瑞丰动力被指“股权高度集中”,众安智慧生活（HK02271）去年9月10日被通报后，次日股价下跌23%，10月9日又跌超30%，且流通性持续低迷。德银天下（HK02418）去年12月2日被指股权高度集中，次日股价大跌近28%，今年以来累计跌幅达78%。,2026-03-10 14:45:58,每日经济新闻,http://finance.eastmoney.com/a/202603103667375977.html
02271,02271,众安智慧生活：拟配售5174万股 净筹7769万港元,2月10日，众安智慧生活（02271）发布公告，宣布与配售代理签署了配售协议，计划以每股1.52港元的价格配售最多5174万股新股份。此次配售价格较最后交易日收市价1.81港元折让约16.02%，同时较最近五个交易日的平均收市价1.88港元折让约19.15%。,2026-02-10 09:36:10,财中社,http://finance.eastmoney.com/a/202602103646340588.html
