query,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
01209,01209,中国黄金拟新设两家分公司,7月31日，中国黄金（600916）发布公告，为深入推进公司高端化战略升级及落实与华润万象生活（01209）战略合作部署，公司拟设立独立核算的店面分支机构。,2026-07-31 15:47:00,财中社,http://finance.eastmoney.com/a/202607313828297412.html
01209,01209,港股评级汇总：浦银国际维持安踏体育买入评级,中金公司：维持华润万象生活跑赢行业评级目标价48港元 中金公司就华润万象生活 01209.HK) 发布研报称，上半年购物中心零售额展现韧性，跑赢社零大盘，新拓项目符合预期。,2026-07-21 15:32:00,财联社,http://finance.eastmoney.com/a/202607213815514242.html
01209,01209,华润万象生活闯入美妆渠道：下场自营，连下三城,7月13日，华润万象生活（01209.HK)旗下自营美妆品牌MIXC BEAUTY正式亮相，目前已入驻昆明、郑州、长沙三座万象城。 时代周报记者注意到，这并非华润万象生活第一次涉足美妆零售。2023年12月，昆明万象城开业时，公司便宣布落地首家自营化妆品零售店。,2026-07-15 18:10:26,时代周报,http://finance.eastmoney.com/a/202607153807575292.html
01209,01209,港股评级汇总：国海证券维持MINIMAX买入评级,中金公司：维持华润万象生活跑赢行业评级目标价 48 港元 中金公司就华润万象生活 01209.HK) 发布研报称，年初至今经营稳健，同店零售额增速跑赢社零大盘，优质项目持续获取市场份额。,2026-06-18 15:07:36,财联社,http://finance.eastmoney.com/a/202606183776095152.html
01209,01209,华润万象生活：7月31日将派发股息0.585港元/股,南财智讯6月8日电，华润万象生活（01209.HK）公告，公司将于2026年7月31日派发末期股息，每股派息0.585港元（或0.509元人民币）。,2026-06-08 21:43:39,南方财经网,http://finance.eastmoney.com/a/202606083763906356.html
01209,01209,华润万象生活：6月17日将派发股息0.509元/股,南财智讯6月8日电，华润万象生活（01209.HK）公告，公司截至2025年12月31日止年度的末期股息每股人民币0.509元及特别股息每股人民币0.341元已获股东大会批准。,2026-06-08 21:38:00,南方财经网,http://finance.eastmoney.com/a/202606083763904466.html
01209,01209,直击新城控股股东会：商业板块增长变难，王晓松要用REITs盘活1200亿吾悦广场,赢商网研究报告指出，随着一二线城市商业竞争白热化、增量趋顶，以华润万象生活（01209.HK）为代表的头部商管公司们拓展版图边界，从高线城市突围，向下沉市场要增量。,2026-05-27 22:30:30,时代周报,http://finance.eastmoney.com/a/202605273751638463.html
01209,01209,港股评级汇总：交银国际维持华虹半导体买入评级,"华泰证券：维持华润万象生活买入评级目标价 63.57 港元 华泰证券就华润万象生活 01209.HK) 发布研报称，作为中国消费""HALO 资产头部运营商，具备深度嵌入线下消费供给侧的基础设施网络运营能力，竞争壁垒体系化且难以被抗衡。",2026-05-18 15:54:00,财联社,http://finance.eastmoney.com/a/202605183740424243.html
01209,01209,华润万象生活：2025年净利润同比增长10.4%,南财智讯4月29日电，华润万象生活（01209.HK）公告，截至2025年12月31日止年度，公司总收入为人民币180.22亿元，同比增长5.1%；年内溢利为人民币40.84亿元，同比增长10.4%；每股基本盈利为1.74元。,2026-04-29 07:28:00,南方财经网,http://finance.eastmoney.com/a/202604293723390877.html
01209,01209,港股华润万象生活午后涨超4%,每经AI快讯，4月9日，华润万象生活01209.HK)午后涨超4%，截至发稿涨4.06%，报48.66港元，成交额1.2亿港元。,2026-04-09 13:47:33,每日经济新闻,http://finance.eastmoney.com/a/202604093699410021.html
