query,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
02481,02481,慧居科技：6月26日将派发股息0.1945港元/股,南财智讯5月15日电，慧居科技（02481.HK）公告，公司拟派发截至2025年12月31日止年度末期股息每股0.1945港元（相当于每股0.17元人民币）。本次股息派发日为2026年6月26日，除净日为2026年5月20日，记录日期为2026年5月28日。,2026-05-15 22:40:00,南方财经网,http://finance.eastmoney.com/a/202605153739239010.html
02481,02481,慧居科技：6月26日派发股息0.17元/股,南财智讯3月20日电，慧居科技（02481.HK）公告，公司宣布截至2025年12月31日止年度之末期股息，每股派发现金股息0.17元（人民币），股息派发日为2026年6月26日。除净日为2026年5月20日，记录日期为2026年5月28日。,2026-03-20 22:55:00,南方财经网,http://finance.eastmoney.com/a/202603203679248231.html
02481,02481,慧居科技：2025年净利润同比增长3.69% 拟每股派息0.17元,中证智能财讯慧居科技（02481）3月20日披露2025年度报告。报告期内，公司实现营业收入15.06亿元，同比下降8.61%；归母净利润1.7亿元，同比增长3.69%；据报告显示，慧居科技基本每股收益为0.56元，平均净资产收益率为13.94%。,2026-03-23 19:44:45,中国证券报·中证网,http://finance.eastmoney.com/a/202603233681120743.html
