query,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
01973,01973,天图投资：拟出售BeBeBus股份合计256.54万股 涉资9160.47万港元,"南财智讯7月13日电，天图投资（01973.HK）发布须予披露交易公告，公司及其附属公司于2026年3月23日至7月13日期间，在公开市场合计出售BeBeBus（股份代号：6090）股份2,565,400股，占BeBeBus已发行股份总数约2.83%，出售所得款项总额约9160.47",2026-07-13 18:46:00,南方财经网,http://finance.eastmoney.com/a/202607133803961170.html
01973,01973,中国三江化工上半年净利预增100%-130%；新华保险上半年净利预增40%-60%丨港股公告精选,"天图投资：拟出售BeBeBus股份合计256.54万股涉资9160.47万港元 天图投资（01973.HK）发布须予披露交易公告，公司及其附属公司于2026年3月23日至7月13日期间，在公开市场合计出售BeBeBus（股份代号：6090）股份2,565,400股，占BeBeBus",2026-07-13 21:06:00,21世纪经济报道,http://finance.eastmoney.com/a/202607133804137784.html
01973,01973,天图投资：2025年盈利1.96亿元 同比扭亏,中证智能财讯天图投资（01973）4月29日披露2025年度报告。,2026-04-29 18:36:47,中国证券报·中证网,http://finance.eastmoney.com/a/202604293724765010.html
01973,01973,天图投资：2025年净利润1.96亿元,南财智讯3月31日电，天图投资（01973.HK）公告，截至2025年12月31日止年度，公司总收入为1780.7万元；年内本公司拥有人应占利润为1.96亿元；每股基本盈利为0.28元。,2026-03-31 19:30:21,南方财经网,http://finance.eastmoney.com/a/202603313690610130.html
01973,01973,天图投资2025年扭亏为盈 年内利润达1.96亿元,3月31日，天图投资（01973）发布2025年度业绩公告。公司在2025年实现年内利润1.96亿元，而2024年则亏损8.93亿元。收入由2024年的4243万元减少至2025年的1781万元，主要原因是部分基金进入延长期，停止收取管理费。,2026-03-31 20:04:00,财中社,http://finance.eastmoney.com/a/202603313690656765.html
01973,01973,股价坐上“过山车”！这家公司去年扭亏为盈，手握小红书、八马茶业、爱回收等明星资产,作为国内首家“新三板+H股”创投机构，天图投资（01973.HK，833979）近期股价极端波动，成为市场焦点：4月2日，其H股收盘再度大涨19.05%至2.50港元。,2026-04-02 23:19:00,北证资讯,http://finance.eastmoney.com/a/202604023693853441.html
01973,01973,港股公告精选｜中国中免2025年净赚约36亿元 三一国际预计年度利润增超5成,天图投资01973.HK)：认购总金额为3.2亿元的保本理财产品。 3）回购动态 小米集团-W(01810.HK)：斥资9999.87万港元回购297.5万股，回购价33.46-33.76港元。,2026-03-20 20:36:00,财联社,http://finance.eastmoney.com/a/202603203679178594.html
01973,01973,天图投资：预计2025年纯利约1.5亿元至2亿元，实现扭亏为盈,3月5日，天图投资（01973）发布公告，公司预计2025年纯利约1.5亿元至2亿元，而去年同期净亏损约8.93亿元。 公告指出，公司2025年实现扭亏为盈主要由于投资组合公允价值上升，变动计入当期损益的金融资产金额增加，从而产生投资收益。,2026-03-05 17:02:46,财中社,http://finance.eastmoney.com/a/202603053663203513.html
01973,01973,天图投资：2025财年净利1.5亿元—2亿元,南财智讯3月5日电，天图投资（01973.HK）发布正面盈利预告，预计2025财年（截至2025年12月31日止年度）净利润约为人民币1.5亿元至2亿元，去年同期为净亏损约8.93亿元。,2026-03-05 16:46:17,南方财经网,http://finance.eastmoney.com/a/202603053663190681.html
01973,01973,港股公告精选｜哔哩哔哩2025年营业额超300亿元；京东营收破1.3万亿元；和黄医药年度净利润同比增超11倍,天图投资01973.HK)：发盈喜，预期年度纯利1.5亿元至2亿元，同比扭亏为盈。 满贯集团(03390.HK)：预计2025财年除税前利润将大幅增加不少于200.0%。,2026-03-06 07:45:44,财联社,http://finance.eastmoney.com/a/202603063663724475.html
