query,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
02416,02416,易点云02416.HK)连续8日回购，累计斥资922.56万港元,证券时报·数据宝统计，易点云在港交所公告显示，7月22日以每股3.340港元至3.400港元的价格回购179.50万股，回购金额达609.98万港元。该股当日收盘价3.270港元，下跌3.54%，全天成交额886.77万港元。 自7月13日以来公司已连续8日进行回购，合计回购275.50,2026-07-23 09:41:00,证券时报网,http://finance.eastmoney.com/a/202607233818374736.html
02416,02416,易点云02416.HK)7月6日回购435.90万股，耗资1307.70万港元,证券时报·数据宝统计，易点云在港交所公告显示，7月6日以每股3.00港元的价格回购435.90万股，回购金额达1307.70万港元。该股当日收盘价3.000港元，下跌0.33%，全天成交额1699.32万港元。 自7月3日以来公司已连续2日进行回购，合计回购1052.50万股，,2026-07-06 21:31:00,证券时报网,http://finance.eastmoney.com/a/202607063795440233.html
02416,02416,59家港股公司出手回购（7月24日）,3.15 0.630 0.630 94.06 00605 中国金融投资管理 3.40 2.72 0.800 0.800 5.34 01897 美亨实业 2.60 1.20 0.460 0.460 87.92 09857 柠萌影视 0.16 0.42 2.680 2.600 54.99 02416,2026-07-27 09:43:00,证券时报网,http://finance.eastmoney.com/a/202607273821688256.html
02416,02416,45家港股公司出手回购（7月23日）,02659 宝济药业-B 11.23 199.47 18.140 17.480 2804.29 09911 赤子城科技 22.40 197.64 9.150 8.630 10667.86 00732 信利国际 200.00 178.93 0.900 0.890 7131.42 02416,2026-07-24 09:14:00,证券时报网,http://finance.eastmoney.com/a/202607243819840725.html
02416,02416,47家港股公司出手回购（7月22日）,06887 东阳光药 29.83 948.21 33.000 31.120 5108.43 02400 心动公司 18.78 792.45 43.480 41.420 60811.19 01193 华润燃气 45.47 717.62 15.800 15.720 76248.86 02416,2026-07-23 09:07:00,证券时报网,http://finance.eastmoney.com/a/202607233818187295.html
02416,02416,64家港股公司回购 小米集团-W回购4999.83万港元,978.00 06826 昊海生物科技 7.30 122.54 16.880 16.640 2933.67 02617 药捷安康-B 11.10 113.98 10.700 9.920 291.44 01565 成实外教育 544.00 106.77 0.197 0.193 553.35 02416,2026-07-22 08:54:00,证券时报网,http://finance.eastmoney.com/a/202607223816431961.html
02416,02416,71家港股公司出手回购（7月20日）,1.760 3173.83 03798 家乡互动 27.20 34.11 1.260 1.200 2158.47 02219 朝聚眼科 13.05 33.79 2.610 2.570 880.79 09669 北森控股 10.00 32.79 3.360 3.260 3843.44 02416,2026-07-21 09:38:00,证券时报网,http://finance.eastmoney.com/a/202607213814389186.html
02416,02416,87家港股公司回购 小米集团-W回购1.02亿港元,2595.80 01907 中国旭阳集团 51.70 93.46 1.840 1.790 5340.36 09669 北森控股 28.10 92.18 3.380 3.220 3810.65 00732 信利国际 100.00 90.00 0.900 0.900 6685.48 02416,2026-07-20 09:33:00,证券时报网,http://finance.eastmoney.com/a/202607203812159352.html
02416,02416,61家港股公司出手回购（7月16日）,0.900 7179.91 02150 奈雪的茶 22.00 15.76 0.720 0.710 1105.75 01328 金涌投资 3.70 15.04 4.180 3.950 401.22 03309 希玛医疗 12.00 11.58 0.980 0.950 335.19 02416,2026-07-17 09:11:00,证券时报网,http://finance.eastmoney.com/a/202607173809876387.html
02416,02416,7月15日港股回购一览,13.300 13.300 285.86 00314 思派健康 4.76 6.60 1.390 1.350 4469.04 09857 柠萌影视 2.61 6.35 2.480 2.400 12.42 06996 德琪医药-B 1.40 6.17 4.410 4.410 255.54 02416,2026-07-16 09:08:00,证券时报网,http://finance.eastmoney.com/a/202607163808323712.html
