query,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
02268,02268,中欧基金葛兰二季报出炉：君实生物首进持仓前十，科伦药业获大举增持,具体来看，该基金的前十大重仓股包括：药明康德、百利天恒、凯莱英A+H（002821.SZ、06821.HK）、海思科、康龙化成A+H、药明合联（02268.HK）、科伦博泰生物-B（06990.HK）、科伦药业（002422.SZ）、康方生物、药明生物（02269.HK）。,2026-07-21 20:26:00,澎湃新闻,http://finance.eastmoney.com/a/202607213815835332.html
02268,02268,考虑延长交易时间！港股突发！两大重磅利好同步兑现,中国海洋石油(00883.HK)涨超5%，中国石油股份(00857.HK)涨近4%，中国石油化工股份(00386.HK)涨近1%；生物医药股活跃，荣昌生物(09995.HK)涨超8%，药明合联02268.HK)涨超6%；光通信概念回升，长飞光纤光缆(06869.HK)涨超8%，华虹宏力,2026-07-20 16:17:00,券商中国,http://finance.eastmoney.com/a/202607203813288586.html
02268,02268,创新药出海与政策提速双重共振！港股生物技术股集体走强，昭衍新药大涨近22%,截至发稿， 昭衍新药 (06127.HK) 大涨近22%， 派格生物医药-B (02565.HK) 涨超17%， 科伦博泰生物 (06990.HK) 涨近12%，康方生物 (09926.HK) 涨近10%， 药明合联 02268.HK) 涨超8%， 药明生物 (02269.HK),2026-07-15 11:33:42,财联社,http://finance.eastmoney.com/a/202607153807238287.html
02268,02268,港股收盘 | 三大指数周线逆势走强 硬科技相关个股遭获利回吐,政策利好与估值筑底荣昌生物涨近10% 截至收盘，荣昌生物(09995.HK)涨9.68%，康方生物(09926.HK)涨8.02%，药明合联02268.HK)涨4.93%。,2026-07-03 16:39:27,财联社,http://finance.eastmoney.com/a/202607033793592834.html
02268,02268,药明合联：东曜药业与药明生物订立工艺开发及制造服务协议,6月17日，药明合联（02268）发布公告，公司控股股东药明生物（02269）与公司控股子公司东曜药业（01875）于2026年6月16日签订工艺开发及制造服务协议。,2026-06-17 09:09:00,财中社,http://finance.eastmoney.com/a/202606173773873677.html
02268,02268,药明合联回购570万股 总额约3.27亿港元,药明合联（02268）发布公告，宣布在2026年5月19日至2026年5月29日期间，公司通过专业受托人在公开市场上购买了570万股股份，约占已发行股份总数的0.45%。此次股份购买的总代价约为3.27亿港元，平均购买价为每股57.3港元。,2026-05-29 09:07:00,财中社,http://finance.eastmoney.com/a/202605293753616769.html
02268,02268,药明合联拟斥资最多1亿美元回购,5月18日，药明合联（02268）发布公告，公司决定动用最多1亿美元的内部资金，建议在市场上回购股份。 此次回购旨在通过委任的专业受托人按当时市价在公开市场上购买本公司的股份。,2026-05-19 08:29:00,财中社,http://finance.eastmoney.com/a/202605193741167819.html
02268,02268,2025年CXO行业净利暴增85% 从“烧钱扩产”到“技术致胜” 最残酷的洗牌已经开始,另外，结构性产能错配凸显，ADC、多肽药物等新兴赛道产能供不应求，如药明合联（02268.HK）产能利用率超95%，而传统小分子原料药车间却大量闲置。 这种错配可能不是暂时的供需失衡，而是技术路线迭代导致的“产能沉没”。,2026-05-13 22:32:25,时代周报,http://finance.eastmoney.com/a/202605133736310541.html
02268,02268,中欧基金葛兰一季度大幅增持凯莱英H股、茅台，买回中国海油,具体来看，该基金的前十大重仓股包括：药明康德、康方生物、药明合联（02268.HK）、科伦博泰生物-B（06990.HK）、百利天恒、海思科、凯莱英A+H（002821.SZ、06821.HK）、药明生物（02269.HK）、信立泰、恒瑞医药（600276.SH）。,2026-04-23 09:54:00,澎湃新闻,http://finance.eastmoney.com/a/202604233715834579.html
02268,02268,药明合联：2025年净利润同比增长38.4%,南财智讯3月23日电，药明合联（02268.HK）公告，截至2025年12月31日止年度，公司总收入为人民币59.44亿元，同比增长46.7%；年内本公司拥有人应占纯利为人民币14.80亿元，同比增长38.4%；每股基本盈利为人民币1.02元。,2026-03-23 20:45:00,南方财经网,http://finance.eastmoney.com/a/202603233681177883.html
