query,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
06955,06955,博安生物：新药BA1203临床试验申请获CDE受理,7月8日，博安生物（06955）发布公告，公司在研PD-1/IL-2抗体细胞因子前药BA1203的新药临床试验申请(IND)已获得中国国家药品监督管理局药品审评中心（CDE）受理。 BA1203为本公司自主开发的新一代肿瘤免疫候选药物，拟开发用于多种实体瘤的治疗。,2026-07-08 12:52:00,财中社,http://finance.eastmoney.com/a/202607083798163888.html
06955,06955,博安生物：BA1203临床试验申请获CDE受理,南财智讯7月8日电，博安生物（06955.HK）发布自愿公告，公司自主研发的在研新药BA1203（遮蔽型PD-1/IL-2抗体细胞因子前药）新药临床试验申请（IND）已获中国国家药品监督管理局药品审评中心（CDE）受理。,2026-07-08 12:05:00,南方财经网,http://finance.eastmoney.com/a/202607083798156612.html
06955,06955,港股公告精选｜中金公司中期盈利或同比增约8成 建发国际上半年销售额近490亿元,博安生物06955.HK)：BA1203(遮蔽型PD-1/IL-2)临床试验申请获CDE受理。 元续科技(08637.HK)：已就新交所上市提交正式申请。,2026-07-08 21:41:00,财联社,http://finance.eastmoney.com/a/202607083798694551.html
06955,06955,博安生物：BA1106联合BA1104治疗NSCLC II期临床试验获CDE批准,南财智讯7月2日电，博安生物（06955.HK）发布自愿公告，公司自主研发的创新抗体BA1106（抗CD25单抗）联合自有PD-1抑制剂BA1104（纳武利尤单抗）用于非小细胞肺癌（NSCLC）一线及二线治疗的II期临床试验申请，已正式获得国家药品监督管理局药品审评中心（CDE）批准,2026-07-02 19:15:00,南方财经网,http://finance.eastmoney.com/a/202607023792074551.html
06955,06955,港股公告精选｜保利置业集团预计中期业绩同比转亏 石药集团与阿斯利康合作开发新型小核酸药物,博安生物06955.HK)：BA1106联合BA1104治疗非小细胞肺癌的 Ⅱ期临床试验申请获CDE批准。 富力地产(02777.HK)：“H19富力2”已于相关债券持有人会议中通过重组方案。,2026-07-02 20:48:00,财联社,http://finance.eastmoney.com/a/202607023792133061.html
06955,06955,港股早报｜金山云获百亿预算与大单支持 苹果上调折叠屏及新机备货目标,博安生物06955.HK)：BA1106联合BA1104治疗非小细胞肺癌的Ⅱ期临床试验申请获CDE批准。 富力地产(02777.HK)：“H19富力2”已于相关债券持有人会议中通过重组方案。,2026-07-03 07:13:00,财联社,http://finance.eastmoney.com/a/202607033792377638.html
06955,06955,中金公司上半年净利同比预增78%—90%｜港股公告精选,博安生物：BA1203临床试验申请获CDE受理 博安生物（06955.HK）发布自愿公告，公司自主研发的在研新药BA1203（遮蔽型PD-1/IL-2抗体细胞因子前药）新药临床试验申请（IND）已获中国国家药品监督管理局药品审评中心（CDE）受理。,2026-07-08 21:42:00,21世纪经济报道,http://finance.eastmoney.com/a/202607083798691555.html
06955,06955,博安生物就度拉糖肽注射液BA5101美国市场权利达成授权协议,6月11日，博安生物（06955）发布公告，公司已与合作伙伴就度拉糖肽注射液BA5101的美国市场权利达成授权协议。 根据协议，合作伙伴将负责该产品在美国的商业化，包括上市申报和销售等，公司将获得首付款、里程碑付款及销售提成。,2026-06-12 08:51:00,财中社,http://finance.eastmoney.com/a/202606123769003328.html
06955,06955,博安生物：度拉糖肽注射液完成美国授权,南财智讯6月11日电，博安生物（06955.HK）发布自愿公告，公司就自主研发的度拉糖肽注射液BA5101与合作方达成美国市场授权协议，合作方将负责该产品在美国的商业化（包括上市申报、销售等），公司获首付款、里程碑付款及销售提成。,2026-06-11 22:12:00,南方财经网,http://finance.eastmoney.com/a/202606113768635967.html
06955,06955,从单点交易到体系作战 中国创新药出海下半场谁能跑通？,6月13日，在上海徐汇滨江举行的“2026中国企业全球影响力对话”活动上，“医疗健康企业如何融入全球大市场”圆桌对话环节聚焦药企出海，中国生物制药（01177.HK）、绿叶制药（02186.HK）控股子公司博安生物（06955.HK）、东阳光药（06887.HK）三家上市公司核心高管同台分享了各自在出海过程中的收获与思考,2026-06-15 10:58:12,财联社,http://finance.eastmoney.com/a/202606153771290988.html
