query,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
02411,02411,港股评级汇总：国投证券首予哔哩哔哩买入-A评级,中国银河证券：上调百果园集团至推荐评级 中国银河证券就百果园集团 02411.HK) 发布研报称，主业开店速度超预期，AI 系统赋能运营效率提升助力扭亏为盈。依托供应链优势探索“水果 + 零食”新业态，线下零售场景升级打开长期成长空间。,2026-07-31 15:44:00,财联社,http://finance.eastmoney.com/a/202607313828286465.html
02411,02411,百果园集团02411.HK)6月2日回购266.50万股，耗资468.20万港元,证券时报·数据宝统计，百果园集团在港交所公告显示，6月2日以每股1.700港元至1.790港元的价格回购266.50万股，回购金额达468.20万港元。该股当日收盘价1.740港元，上涨1.16%，全天成交额1011.37万港元。 自6月1日以来公司已连续2日进行回购，合计回购,2026-06-02 22:44:00,证券时报网,http://finance.eastmoney.com/a/202606023757888990.html
02411,02411,百果园集团02411.HK)6月1日回购241.55万股，耗资416.55万港元,证券时报·数据宝统计，百果园集团在港交所公告显示，6月1日以每股1.700港元至1.730港元的价格回购241.55万股，回购金额达416.55万港元。该股当日收盘价1.720港元，下跌2.82%，全天成交额879.35万港元。 今年以来该股累计进行11次回购，合计回购1259.70,2026-06-01 20:47:00,证券时报网,http://finance.eastmoney.com/a/202606013756263578.html
02411,02411,百果园集团：7月10日将派发股息0.0058港元/股,南财智讯6月5日电，百果园集团（02411.HK）公告，公司宣派截至2025年12月31日止年度末期股息每股0.005元人民币（折合每股0.0058港元）。本次股息除净日为2026年6月9日，记录日期为2026年6月16日，股息派发日为2026年7月10日。,2026-06-05 20:27:00,南方财经网,http://finance.eastmoney.com/a/202606053762152729.html
02411,02411,85家港股公司回购 腾讯控股回购5.01亿港元,3525.36 02652 长风药业 5.30 96.89 19.490 17.840 3317.85 03378 翰思艾泰-B 3.31 87.60 27.760 26.000 3620.49 02509 荃信生物-B 5.14 80.12 15.800 14.800 3754.89 02411,2026-06-12 09:16:00,证券时报网,http://finance.eastmoney.com/a/202606123769188924.html
02411,02411,6月10日港股回购一览,1.330 5289.20 01873 维亚生物 78.25 89.32 1.150 1.130 3789.72 00797 第七大道 80.00 80.00 1.000 1.000 1196.07 00623 中视金桥 38.10 78.16 2.060 2.040 1442.31 02411,2026-06-11 09:11:00,证券时报网,http://finance.eastmoney.com/a/202606113767562274.html
02411,02411,87家港股公司出手回购（6月8日）,5303.35 06051 有赞 1600.00 133.64 0.085 0.082 2289.82 00842 理士国际 100.00 115.12 1.170 1.130 179.78 02190 归创通桥 5.75 110.28 19.570 18.960 9028.80 02411,2026-06-09 09:16:00,证券时报网,http://finance.eastmoney.com/a/202606093764471886.html
02411,02411,82家港股公司出手回购（6月5日）,5516.44 00999 小菜园 24.88 174.86 7.070 6.930 2297.61 02408 遇见小面 40.10 171.63 4.360 4.170 5524.41 00596 浪潮数字企业 54.00 165.46 3.180 2.930 367.05 02411,2026-06-08 09:10:00,证券时报网,http://finance.eastmoney.com/a/202606083762819991.html
02411,02411,79家港股公司出手回购（6月4日）,240.29 01921 达力普控股 68.20 218.12 3.290 3.150 545.99 01672 歌礼制药-B 20.00 202.62 10.310 9.800 609.58 09911 赤子城科技 24.60 195.59 8.080 7.850 5320.15 02411,2026-06-05 09:23:00,证券时报网,http://finance.eastmoney.com/a/202606053761254353.html
02411,02411,61家港股公司出手回购（6月2日）,29350.50 01789 爱康医疗 107.00 631.30 5.910 5.880 7041.32 00135 昆仑能源 79.40 567.30 7.170 7.110 12164.42 02039 中集集团 50.00 471.48 9.510 9.370 6230.00 02411,2026-06-03 09:11:00,证券时报网,http://finance.eastmoney.com/a/202606033758417746.html
