query,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
洪九果品,洪九果品,水果、零食垂类渠道批量跨界，超市商怎么看？,先从消费市场端看，2023年前国内经济高增长周期，催生了百果园、洪九果品、良品铺子、来伊份等垂类龙头，它们凭借标准化产品、专业化供应链和规模化渠道获得资本与市场双重认可。但2023年后，消费市场呈现明显客群分化，消费者对性价比的要求越来越高。,2026-04-10 21:40:58,大河财立方,http://finance.eastmoney.com/a/202604103701607596.html
洪九果品,洪九果品,200亿深圳水果巨头，冲击上市,港股“水果第一股”洪九果品，已经退市；百果园上市至今，股价跌去六成多，陷入亏损泥淖。 同时，美团、拼多多等互联网巨头，跳过中间商，源头直采，靠即时配送网络送至用户手中，侵蚀传统分销渠道。 留给张剑团队的时间，并不宽裕。,2026-04-02 08:00:00,21世纪经济报道,http://finance.eastmoney.com/a/202604023692684418.html
洪九果品,洪九果品,旗下*ST 佳沃海鲜生意险翻车， 联想控股砸16 亿元回购对赌水果龙头上市,2025年12月30日，港股“水果第一股”洪九果品正式退市，从上市巅峰670亿港元市值，到停牌时不足30亿港元，市值跌幅超过95%。而另一家水果龙头百果园，2023年登陆港股后同样表现不及预期。,2026-03-19 17:19:44,深圳商报·读创,http://finance.eastmoney.com/a/202603193677498878.html
洪九果品,洪九果品,A股折戟后转战港股，“水果巨头”鑫荣懋不到3年赚超8亿元，联想控股是背后大股东,眼下，港股水果行业上市公司的日子并不好过，前有曾被誉为“水果第一股”的洪九果品黯然退市，后有高端水果零售龙头百果园（02411.HK）面临业绩亏损、门店收缩、资金承压等难题。此时，联想控股加码水果赛道、推动鑫荣懋上市的布局，又能否打破行业困局，实现预期成效？,2026-03-14 13:37:03,时代财经,http://finance.eastmoney.com/a/202603143672220642.html
