query,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
09678,09678,云知声城市级MaaS解决方案实现“区域复制”：南宁、厦门两大项目落地，签约额超2000万,7月31日，云知声（09678）发布公告，近日公司成功中标南宁市级平台公司出资建设的模数空间项目，标志着公司城市级MaaS解决方案实现从“单点突破”到“区域复制”的关键跃进。,2026-07-31 12:53:00,财中社,http://finance.eastmoney.com/a/202607313828148797.html
09678,09678,云知声：完成多模态大模型能力升级 支持超100种方言与15种国际语言,7月28日，云知声（09678）发布公告，近日，公司全面完成了U2-ASR与U2-TTS的能力升级，增强了多模态大模型能力。,2026-07-28 09:24:00,财中社,http://finance.eastmoney.com/a/202607283822981975.html
09678,09678,港股部分人工智能股逆势走强 智谱涨超8%,截至发稿，智谱(02513.HK)涨8.20%，云知声09678.HK)涨5%，澜起科技(06809.HK)涨4.04%。,2026-07-24 10:04:28,东方财富Choice数据,http://finance.eastmoney.com/a/202607243820075452.html
09678,09678,港股部分人工智能股逆势走强,7月24日，港股部分人工智能股逆势走强，截至发稿，智谱(02513.HK)涨8.20%，云知声09678.HK)涨5%，澜起科技(06809.HK)涨4.04%。,2026-07-24 10:05:39,每日经济新闻,http://finance.eastmoney.com/a/202607243820085042.html
09678,09678,云知声：控股股东黄伟、执行董事刘升平合计投入511万港元增持股份,7月23日，云知声（09678）发布公告，控股股东、执行董事兼首席执行官黄伟博士于2026年7月6日至2026年7月16日期间在公开市场以自有资金增持5.6万股本公司H股，增持金额为398万港元。,2026-07-24 09:35:00,财中社,http://finance.eastmoney.com/a/202607243819933591.html
09678,09678,云知声：预计上半年营收5.3至5.8亿元 同比增31%至43%,云知声09678.HK)在港交所公告称，预计2026年上半年实现整体营业收入人民币5.30亿元至人民币5.80亿元，较2025年同期增长31%至43%。其中，依托大模型能力的智能体业务预计实现收入人民币5.15亿元至人民币5.50亿元，较2025年同期增长200%至220%。,2026-07-22 16:43:53,财联社,http://finance.eastmoney.com/a/202607223817305457.html
09678,09678,云知声：预计上半年营收5.3亿至5.8亿元 同比增31%至43%,7月22日，云知声（09678）发布公告，预计2026年上半年实现整体营业收入5.3亿元至5.8亿元，较2025年同期增长31%至43%。 其中，依托大模型能力的智能体业务预计实现收入5.15亿元至5.5亿元，较2025年同期增长200%至220%。,2026-07-22 16:43:00,财中社,http://finance.eastmoney.com/a/202607223817308238.html
09678,09678,港股云知声早盘涨超14%,7月20日，云知声09678.HK)早盘涨超14%，截至发稿，涨10.18%，报72.5港元，成交额8114.57万港元。,2026-07-20 10:31:55,每日经济新闻,http://finance.eastmoney.com/a/202607203812568287.html
09678,09678,港股公告精选｜云知声上半年收入同比增超3成 赤子城科技中期营收或超6亿美元,财联社7月22日讯财联社为您带来今日港股重要公告 1）公司要闻 云知声09678.HK)：预计上半年营收5.30-5.80亿元，同比增长31%至43%。期内新拓展的大模型Token直接调用业务。,2026-07-22 20:46:00,财联社,http://finance.eastmoney.com/a/202607223817569333.html
09678,09678,百菲乳业递表港交所；云知声、国泰航空发盈喜丨港交所早参,NO.3 云知声预计上半年营收同比增长31%至43% 7月22日，云知声（HK09678）公告称，2026年上半年，公司预计实现整体营业收入5.30亿元至5.80亿元，同比增长31%至43%。,2026-07-23 07:02:31,每日经济新闻,http://finance.eastmoney.com/a/202607233817816521.html
