query,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
02431,02431,佑驾创新完成配售净筹约1.22亿港元，约七成用于无人车及物理AI发展,7月28日，佑驾创新（02431）发布公告，配售代理已按配售价每股6.23港元向不少于6名承配人配售合计2013万股新H股，约占扩大后已发行股份数目的4.63%。,2026-07-28 18:01:00,财中社,http://finance.eastmoney.com/a/202607283823599511.html
02431,02431,佑驾创新拟配售最多2013万股 净筹约1.22亿港元,佑驾创新（02431）发布公告，公司于2026年7月22日与配售代理订立配售协议，计划配售最多2013万股新H股，配售价为每股6.23港元，较2026年7月22日收市价7.33港元折让约15.0%。,2026-07-23 09:11:00,财中社,http://finance.eastmoney.com/a/202607233818235233.html
02431,02431,折价配售+业绩承压，佑驾创新股价连续暴跌，7月大跌超四成,受折价配售新股及行业基本面压力双重因素影响，佑驾创新（02431.HK）股价在2026年7月出现大幅下跌的情况，7月23日公司股价单日跌幅达16.78%，7月24日继续下探至5.20港元。今年7月初到7月24日，该公司股价跌幅已经超过43%。,2026-07-25 11:01:09,深圳商报·读创,http://finance.eastmoney.com/a/202607253821104922.html
02431,02431,佑驾创新拟回购不超2亿港元股份,7月19日，佑驾创新（02431）发布公告，根据2026年6月12日举行的周年股东会授予的股份回购授权，将在香港联合交易所的公开市场上回购公司的H股股份，回购总金额不超过2亿港元。该授权的有效期至下届周年股东会结束后，或股东会通过特别决议案撤销或更改授权之日。,2026-07-19 18:42:00,财中社,http://finance.eastmoney.com/a/202607193811814689.html
02431,02431,佑驾创新：拟以不超2.00亿港元回购H股,南财智讯7月19日电，佑驾创新（02431.HK）发布自愿公告，公司董事会决议根据2026年6月12日周年股东大会批准的股份购回授权，拟在香港联合交易所公开市场回购本公司H股股份，总金额不超过200百万港元（即2.00亿港元）。,2026-07-19 18:49:00,南方财经网,http://finance.eastmoney.com/a/202607193811780931.html
02431,02431,港股收盘 | 三大指数周线集体收涨 科技与黄金股表现居前,佑驾创新02431.HK)则受智驾与机器人板块整体情绪回落拖累，前期短线获利盘资金了结，本周累计下跌28.28%。 大模型标的MINIMAX-W(00100.HK)受到AI板块获利回吐及高估值落地的匹配担忧，累计下跌19.58%。,2026-07-24 16:38:00,财联社,http://finance.eastmoney.com/a/202607243820499058.html
02431,02431,佑驾创新与滴滴送货达成战略合作,7月13日，佑驾创新（02431）发布公告，公司与北京快桔安运科技有限公司（滴滴送货）签署无人物流全域运营战略合作协议。 根据协议，双方整合同城货运平台资源与公司L4无人物流自动驾驶技术及车辆量产能力，建立长期战略合作关系，共同推动城市末端无人配送商业化、规模化落地。,2026-07-13 20:34:00,财中社,http://finance.eastmoney.com/a/202607133804068975.html
02431,02431,港股公告精选｜新华保险预计中期净利润超200亿元 中国铝业上半年盈利同比增超五成,佑驾创新02431.HK)：与滴滴送货建立长期战略合作关系拟共同推动城市末端无人配送商业化、规模化落地。 维立志博-B(09887.HK)：多项研究成果入选2026 ESMO。,2026-07-13 21:18:00,财联社,http://finance.eastmoney.com/a/202607133804150812.html
02431,02431,港股早报｜国务院批复扩大消费十五五规划 热门中概股多数走低,佑驾创新02431：与滴滴送货建立长期战略合作关系拟共同推动城市末端无人配送商业化、规模化落地。,2026-07-14 07:05:00,财联社,http://finance.eastmoney.com/a/202607143804340965.html
02431,02431,新公司完成注册登记，佑驾创新入局具身智能,6月29日，佑驾创新（02431.HK）发布公告称，与neueHCT共同投资设立的合资公司“杭州曜行创新动力科技有限公司”已正式完成注册登记，自完成设立之日起成为佑驾创新附属公司。,2026-06-30 11:52:44,每日经济新闻,http://finance.eastmoney.com/a/202606303788093147.html
