query,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
02149,02149,港股贝克微午后涨超8%,5月14日，贝克微02149.HK)午后涨超5%，截至发稿，涨8.55%，报40.64港元，成交额2153.41万港元。,2026-05-14 14:09:18,每日经济新闻,http://finance.eastmoney.com/a/202605143737288455.html
02149,02149,港股收盘 | 三大指数周线承压 智谱和五一视界逆势领涨市场,截至收盘，天数智芯(09903.HK)涨9.64%，中芯国际(000981.HK)涨7.61%、贝克微02149.HK)涨3.05%。,2026-05-22 16:56:00,财联社,http://finance.eastmoney.com/a/202605223746783212.html
02149,02149,港股收盘 | 科技指数冲高回落跌0.35% 机器人概念股逆势领涨,部分半导体股活跃纳芯微涨10% 截至收盘，纳芯微(02676.HK)涨10.07%，贝克微02149.HK)涨7.43%，英诺赛科(02577.HK)涨3.11%。,2026-05-14 16:35:00,财联社,http://finance.eastmoney.com/a/202605143737462082.html
02149,02149,贝克微：2025年净利润1.22亿元 同比下降26.77%,中证智能财讯贝克微（02149）4月28日披露2025年度报告。报告期内，公司实现营业收入5.84亿元，同比增长0.92%；归母净利润1.22亿元，同比下降26.77%；据报告显示，贝克微基本每股收益为1.97元，平均净资产收益率为10.78%。,2026-04-29 15:59:48,中国证券报·中证网,http://finance.eastmoney.com/a/202604293724403444.html
02149,02149,港股贝克微跌超13%,每经AI快讯，3月26日，贝克微02149.HK)跌超13%，截至发稿，跌13.17%，报35.6港元，成交额370.04万港元。,2026-03-26 15:44:49,每日经济新闻,http://finance.eastmoney.com/a/202603263685483058.html
02149,02149,贝克微：2025年净利润同比减少26.8%,南财智讯3月25日电，贝克微（02149.HK）公告，截至2025年12月31日止年度，公司总收入为5.84亿元人民币，同比增长0.9%；年内利润为1.22亿元人民币，同比下降26.8%；每股基本盈利为1.97元人民币。,2026-03-25 17:22:00,南方财经网,http://finance.eastmoney.com/a/202603253684119835.html
02149,02149,贝克微：2025年净利润同比增加18.5%至1.89亿元,3月25日，贝克微（02149）发布截至2025年12月31日止年度业绩公告。公司收入为5.84亿元，同比增加0.9%；销售成本为2.82亿元，增加3.7%；毛利为3.02亿元，下降1.5%，毛利率由53.0%降至51.7%。,2026-03-25 17:30:00,财中社,http://finance.eastmoney.com/a/202603253684147144.html
02149,02149,港股收盘 | 科技指数领跌三大指数 泡泡玛特两日回调超30%,截至收盘，贝克微02149.HK)跌12.29%、爱芯元智(00600.HK)跌7.83%、华虹半导体(01347.HK)跌6.20%。 个股异动 古茗跌近3% 创上市以来最大单日跌幅 古茗(01364.HK)跌2.98%，盘中一度跌超6%。,2026-03-26 16:48:45,财联社,http://finance.eastmoney.com/a/202603263685565910.html
