query,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
02577,02577,港股评级汇总：美银证券维持快手买入评级,东吴证券 (香港)：首予英诺赛科买入评级目标价 96.90 港元 东吴证券 (香港) 就英诺赛科 02577.HK) 发布研报称，8 英寸 GaN 量产平台优势显著，正从晶圆销售向器件、IC 及模组平台转型。AI 电源与汽车电子业务进入放量验证期，将成为估值弹性来源。,2026-07-08 15:27:00,财联社,http://finance.eastmoney.com/a/202607083798346885.html
02577,02577,港股半导体股走强 英诺赛科涨超5%,6月18日，港股半导体股走强，截至发稿，英诺赛科02577.HK)涨5.31%，兆易创新02577.HK)涨5.79%，天数智芯(09903.HK)涨5%。,2026-06-18 09:45:32,每日经济新闻,http://finance.eastmoney.com/a/202606183775610632.html
02577,02577,多重数据利好带动赚钱效应回暖 港股半导体板块再度走强,截至发稿，首日挂牌的SENASIC(06675.HK)大涨超120%，澜起科技(06809.HK)涨超9%，华虹宏力(01347.HK)涨超6%，英诺赛科02577.HK)等多只个股跟涨3%以上。,2026-06-17 14:19:39,财联社,http://finance.eastmoney.com/a/202606173774435915.html
02577,02577,英诺赛科完成H股全流通 3.74亿股明日上市,英诺赛科（02577）发布公告，公司完成H股全流通。根据公告，合计3.74亿股境内未上市股份已于2026年6月3日转换为H股，并将于2026年6月4日上午9时正开始在联交所上市。 转换及上市前后，股权架构变化如下：,2026-06-03 19:17:00,财中社,http://finance.eastmoney.com/a/202606033759164022.html
02577,02577,港股功率半导体概念股集体走强 英诺赛科大涨近8%,截至发稿，英诺赛科02577.HK)涨7.60%，华虹半导体(01347.HK)涨6.20%，天岳先进(02631.HK)涨4.66%，时代电气(03898.HK)涨2.98%。 消息方面，隔夜美股纳微半导体股价收涨19.26%。,2026-06-04 11:00:00,财联社,http://finance.eastmoney.com/a/202606043760159497.html
02577,02577,AI狂潮下晶圆产能呈现结构性短缺 港股半导体板块再度走强,截至发稿，今日长光辰芯(03277.HK)涨超10%，英诺赛科02577.HK)涨逾6%，国民技术(02701.HK)等多只个股涨超3%。,2026-06-03 15:10:52,财联社,http://finance.eastmoney.com/a/202606033758968194.html
02577,02577,港股收盘 | 三大指数齐涨迎6月开门红 软件股表现强势,炒作情绪降温半导体产业链深度回调 截至收盘，今日芯片股中天数智芯(09903.HK)跌超10%，华虹半导体(01347.HK)、英诺赛科02577.HK)均跌超5%。 有分析称，此前华为“韬定律”带动对半导体板块热度重燃。,2026-06-01 18:04:00,财联社,http://finance.eastmoney.com/a/202606013756146660.html
02577,02577,港股收盘 | 三大指数集体回调 光通信和半导体逆势走强,半导体产业链表现亮眼云英谷科技涨近14% 截至收盘，云英谷科技(03310.HK)涨13.68%，长光辰芯(03277.HK)涨10.26%，英诺赛科02577.HK)涨7.05%。 云英谷科技涨幅居前，该公司2026年5月27日正式在香港联合交易所主板挂牌上市。,2026-06-03 16:37:43,财联社,http://finance.eastmoney.com/a/202606033759046435.html
02577,02577,港股半导体股走强 华虹半导体涨近15%,截至发稿，华虹半导体(01347.HK)涨14.99%，中芯国际(00981.HK)涨14.97%，兆易创新(03986.HK)涨9.90%，英诺赛科02577.HK)涨8.23%。消息方面，华为日前宣布，在过去六年设计并量产了381款遵循韬(τ)定律的芯片。,2026-05-26 09:25:43,财联社,http://finance.eastmoney.com/a/202605263749041529.html
02577,02577,华为“韬定律”提振港股半导体股 华虹半导体大涨近12%,截至发稿，华虹半导体(01347.HK)涨11.84%，中芯国际(00981.HK)涨9.71%，兆易创新(03986.HK)涨6.62%，英诺赛科02577.HK)涨4%。市场对半导体产业技术突破的预期显著升温。,2026-05-26 11:13:00,财联社,http://finance.eastmoney.com/a/202605263749398380.html
