query,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
06998,06998,29家港股公司出手回购（7月28日）,0.960 5434.13 02508 圣贝拉集团 23.05 83.20 3.680 3.520 756.47 06667 美因基因 10.82 76.61 7.100 7.080 548.22 02219 朝聚眼科 18.00 48.21 2.700 2.640 1103.24 06998,2026-07-29 09:36:00,证券时报网,http://finance.eastmoney.com/a/202607293824531982.html
06998,06998,38家港股公司回购 林清轩回购2839.75万港元,32.900 5432.49 01382 互太纺织 28.10 27.54 0.980 0.980 909.53 09960 康圣环球 24.60 24.48 1.030 0.970 154.02 02429 友宝在线 10.30 22.90 2.240 2.200 2170.62 06998,2026-07-28 09:43:00,证券时报网,http://finance.eastmoney.com/a/202607283823175942.html
06998,06998,59家港股公司出手回购（7月24日）,13.490 327.74 01709 德林控股 50.00 47.00 0.940 0.940 5245.13 00623 中视金桥 21.30 40.66 1.910 1.890 2834.66 02219 朝聚眼科 15.00 39.58 2.650 2.600 1055.02 06998,2026-07-27 09:43:00,证券时报网,http://finance.eastmoney.com/a/202607273821688256.html
06998,06998,45家港股公司出手回购（7月23日）,0.970 881.99 01709 德林控股 50.00 48.00 0.960 0.960 5198.13 02219 朝聚眼科 18.00 47.13 2.630 2.580 1015.44 01995 永升服务 20.00 34.93 1.750 1.740 3278.59 06998,2026-07-24 09:14:00,证券时报网,http://finance.eastmoney.com/a/202607243819840725.html
06998,06998,亿腾嘉和出售Candid 2.29%股权 套现4842万美元,"7月16日，亿腾嘉和（06998）发布公告，公司完成了对Candid Therapeutics, Inc.的全部股权（1250万股，占Candid总股本2.29%）出售，收取款项为4842万美元。",2026-07-17 08:59:00,财中社,http://finance.eastmoney.com/a/202607173809800156.html
06998,06998,47家港股公司出手回购（7月22日）,2.900 2850.10 01709 德林控股 50.00 49.82 1.000 0.990 5150.13 01382 互太纺织 50.00 48.93 0.980 0.970 832.76 02219 朝聚眼科 18.00 46.57 2.600 2.580 968.32 06998,2026-07-23 09:07:00,证券时报网,http://finance.eastmoney.com/a/202607233818187295.html
06998,06998,64家港股公司回购 小米集团-W回购4999.83万港元,37517.48 06078 海吉亚医疗 3.36 34.43 10.250 10.240 11066.68 09669 北森控股 10.00 33.07 3.340 3.260 3876.50 02576 太美医疗科技 5.00 28.28 5.990 5.560 1775.11 06998,2026-07-22 08:54:00,证券时报网,http://finance.eastmoney.com/a/202607223816431961.html
06998,06998,71家港股公司出手回购（7月20日）,12.400 280.18 00797 第七大道 47.80 52.05 1.100 1.070 27485.73 01358 普华和顺 40.00 42.20 1.060 1.050 4747.22 02576 太美医疗科技 7.00 40.67 5.920 5.700 1746.84 06998,2026-07-21 09:38:00,证券时报网,http://finance.eastmoney.com/a/202607213814389186.html
06998,06998,87家港股公司回购 小米集团-W回购1.02亿港元,2.560 847.00 00623 中视金桥 24.50 46.28 1.890 1.880 2720.62 02150 奈雪的茶 64.40 46.20 0.730 0.690 1151.95 02291 心泰医疗 4.00 43.93 11.050 10.810 2006.48 06998,2026-07-20 09:33:00,证券时报网,http://finance.eastmoney.com/a/202607203812159352.html
06998,06998,61家港股公司出手回购（7月16日）,800.30 09669 北森控股 13.84 46.62 3.400 3.280 3718.47 03378 翰思艾泰-B 1.56 45.38 29.680 28.940 5971.25 02291 心泰医疗 3.80 41.24 10.880 10.700 1962.55 06998,2026-07-17 09:11:00,证券时报网,http://finance.eastmoney.com/a/202607173809876387.html
