query,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
02687,02687,港股卓越睿新涨超5%,7月23日，卓越睿新02687.HK)涨超5%，截至发稿涨4.99%，报160港元，成交额2894.23万港元。,2026-07-23 14:16:42,每日经济新闻,http://finance.eastmoney.com/a/202607233818810866.html
02687,02687,布局垂直行业大模型：卓越睿新携手火山引擎深耕AI智慧教学,7月20日，卓越睿新（02687）发布公告，与北京火山引擎科技有限公司签署了合作框架协议。此次合作将围绕大模型知识赋能、虚实融合实训、AI音视频互动教学、数字化人才培养四大核心领域展开，旨在探索行业知识、AI技术与实体物理场景结合的产业智能化合作模式。,2026-07-20 09:27:00,财中社,http://finance.eastmoney.com/a/202607203812078748.html
02687,02687,卓越睿新：与火山引擎签署合作框架协议,卓越睿新（02687.HK）发布自愿公告，公司于2026年7月20日与北京火山引擎科技有限公司签署合作框架协议，双方将在大模型知识赋能、虚实融合实训、AI音视频互动教学、数字化人才培养四大核心领域开展深度协同。,2026-07-20 07:12:00,南方财经网,http://finance.eastmoney.com/a/202607203811933857.html
02687,02687,卓越睿新接连牵手模型大厂 业务版图持续扩容,新华财经北京7月23日电（陈冉潘显璇）7月20日，上海卓越睿新数码科技股份有限公司（02687.HK）与北京火山引擎科技有限公司签署合作框架协议，双方将在“大模型知识赋能、虚实融合实训、AI音视频互动教学、数字化人才培养”四大核心领域展开深度协同。,2026-07-23 21:11:37,新华财经,http://finance.eastmoney.com/a/202607233819216191.html
02687,02687,“高质量数据集”不等于数据堆砌：卓越睿新早已走在标准前面,对于卓越睿新（02687.HK）而言，答案不难找——公司服务近两千家高价值学术用户、沉淀了二十年的学术与科研数据，本身就是一份天然的“高质量数据集”。 五大知识语料数据能力：不是数据多，而是数据“活” 七维标准纠正了一个市场误解：“高质量”不等于“数据量大”。,2026-07-22 08:49:11,证券时报网,http://finance.eastmoney.com/a/202607223816355810.html
02687,02687,AI应用周度观察（2026.07.20-2026.07.26）,3、卓越睿新与火山引擎达成合作，共推豆包大模型AI智慧教学 7月20日，卓越睿新（02687.HK）发布公告，与北京火山引擎科技有限公司签署合作框架协议。,2026-07-26 14:57:46,界面新闻,http://finance.eastmoney.com/a/202607263821217023.html
02687,02687,中科院顶级知识矩阵丨AI for Science加速落地，卓越睿新探索科研智能化新范式,近日，港股上市公司卓越睿新（02687.HK）围绕前沿科研资源数字化与智能化应用，与中国科学院相关科研体系展开探索。,2026-07-17 09:00:13,证券时报网,http://finance.eastmoney.com/a/202607173809798846.html
02687,02687,卓越睿新与阿里云签署全面深度合作框架协议 共探“AI+产教融合”新范式,卓越睿新（02687）发布公告，宣布与阿里云计算有限公司于2026年6月22日签署了全面深度合作框架协议。此次合作将围绕大模型知识Token赋能、物理AI联合研发等领域展开，双方计划共同探索下一代产业智能化新范式。,2026-06-22 08:56:00,财中社,http://finance.eastmoney.com/a/202606223777174969.html
02687,02687,卓越睿新：与阿里云签署全面深度合作框架协议,卓越睿新（02687.HK）发布自愿公告，公司于2026年6月22日与阿里云计算有限公司签署全面深度合作框架协议。,2026-06-22 08:05:00,南方财经网,http://finance.eastmoney.com/a/202606223777156811.html
02687,02687,卓越睿新：2025年净利润1.3亿元 同比增长23.94%,中证智能财讯卓越睿新（02687）4月29日披露2025年度报告。报告期内，公司实现营业收入9.69亿元，同比增长14.29%；归母净利润1.3亿元，同比增长23.94%；据报告显示，卓越睿新基本每股收益为2.15元，平均净资产收益率为17.23%。,2026-04-30 09:12:26,中国证券报·中证网,http://finance.eastmoney.com/a/202604303725980785.html
