query,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
06082,06082,超节点扎堆亮相 规模化落地门槛或被低估,壁仞科技（06082.HK）方面认为，现有电互联超节点架构最多支持128张GPU，无论是Cable Tray架构的运维难度，还是正交背板架构的扩展瓶颈，都难以满足下一代数万亿参数大模型对数百卡—千卡级超节点的需求。 光互联，则成为突破这一瓶颈的必然选择。,2026-07-31 13:41:52,中国经营报,http://finance.eastmoney.com/a/202607313828203110.html
06082,06082,港股评级汇总：国金证券首次覆盖并给予华虹宏力买入评级,国盛证券：首次覆盖壁仞科技买入评级 国盛证券就壁仞科技 06082.HK) 发布研报称，公司自研 GPGPU 芯片迭代加速，BR20X 新品即将推出以实现性能突破。光互联方案解决集群瓶颈，软件生态成熟度持续提升，在国产算力替代趋势下，商业化进程有望显著提速。,2026-07-27 15:05:00,财联社,http://finance.eastmoney.com/a/202607273822069642.html
06082,06082,“Token第一股”收入大增389%，迅策盈利近亿元，未来指数增长新周期开启,Token工厂模式正在多行业、上下游同步跑通，其先后与工业智能解决方案提供商——格创东智共建国内首个“制造业Token工厂”，与博泰车联（02889.HK）、赛目科技(02571.HK)切入智能网联汽车物理AI赛道，与沐曦股份（688802）、天数智芯（09903.HK）、壁仞科技（06082,2026-07-31 18:44:00,新财富杂志,http://finance.eastmoney.com/a/202607313828479155.html
06082,06082,壁仞科技06082.HK)今起纳入港股通,上交所6月5日盘后发布通知，根据《上海证券交易所沪港通业务实施办法》有关规定，壁仞科技06082.HK)正式调入港股通标的名单，与智谱(02513.HK)等共6只股票一同调整，自6月8日（周一）起生效。,2026-06-08 08:21:11,科创板日报,http://finance.eastmoney.com/a/202606083762798591.html
06082,06082,超节点、超集群、TPU方案涌现 算力“拼系统”时代产业最关心Token性价比,8000（登峰）真机、燧原科技与中兴通讯 （000063.SZ）联合打造的正交架构方案“云燧ESL64-O”超节点、阿里云磐久AL128超节点服务器、沐曦股份-U（688802.SH）新一代AI超节点曦景S600、摩尔线程-U（688795.SH)MTT C256超节点、壁仞科技06082,2026-07-21 09:03:02,财联社,http://finance.eastmoney.com/a/202607213814128127.html
06082,06082,壁仞科技折价2.45%配售，净筹约70.38亿港元,7月8日，壁仞科技（06082）发布公告，配售代理按每股配售股份46.20港元的价格，向不少于6名承配人配售合计1.53亿股配售股份，占经扩大后已发行H股的11.30%及已发行股份总数的5.90%。,2026-07-08 17:51:00,财中社,http://finance.eastmoney.com/a/202607083798495138.html
06082,06082,证监会同意燧原科技科创板IPO注册申请,燧原科技成立于2018年3月，是国产GPU四小龙之一；此前，摩尔线程 (688795.SH)、沐曦股份 (688802.SH)、壁仞科技 06082.HK)已经相继登陆资本市场。燧原科技注册资本为3.87亿元，法定代表人为张亚林，公司无控股股东。,2026-07-09 19:09:26,上海证券报,http://finance.eastmoney.com/a/202607093800188157.html
06082,06082,壁仞科技拟配售1.53亿股H股 预计净筹70.38亿港元,7月5日，壁仞科技（06082）发布公告，公司与配售代理订立配售协议，配售代理同意按每股H股46.2港元的配售价合共购买1.53亿股新H股。每股配售价较2026年7月3日收市价51.3港元折让约9.94%。,2026-07-05 19:12:00,财中社,http://finance.eastmoney.com/a/202607053794286371.html
06082,06082,天数智芯拟配售募资70多亿港元 六成用于采购,此外，壁仞科技（06082.HK）也于8日公告宣布完成配售，配售价格为每股46.2港元，发行1.53亿股新H股；募资总额为70.69亿港元，净额为70.38亿港元，其中约60%用于加速下一代产品商业化及生产，20%用于尖端技术研发。,2026-07-10 21:57:50,中国经营报,http://finance.eastmoney.com/a/202607103802162049.html
06082,06082,壁仞科技：拟配售1.53亿新H股，每股配售价46.20港元,南财智讯7月5日电，壁仞科技（06082.HK）公告，公司于2026年7月4日与配售代理订立配售协议，拟按尽力基准向不少于六名承配人配售153000000股新H股，占现有已发行H股约12.74%、已发行股份总数约6.27%；配售完成后，将分别占扩大后H股约11.30%及已发行股份总数约,2026-07-05 18:55:00,南方财经网,http://finance.eastmoney.com/a/202607053794284693.html
