query,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
02516,02516,泛远国际：授出264.70万股奖励股份,"南财智讯7月2日电，泛远国际（02516.HK）发布自愿公告，公司于2026年7月2日根据已采纳的股份奖励计划，向雇员参与者授出合计2,647,000股奖励股份，占公告日已发行股份总数约0.28%。",2026-07-02 20:04:00,南方财经网,http://finance.eastmoney.com/a/202607023792095548.html
02516,02516,泛远国际：王添天获委任为执行董事,4月23日，泛远国际02516.HK)发布公告，杨志龙先生希望将更多时间投入其其他业务事务，已辞任公司执行董事兼财务总监，自2026年4月23日起生效。,2026-04-23 16:43:31,每日经济新闻,http://finance.eastmoney.com/a/202604233716057559.html
02516,02516,泛远国际：行政总裁王添天接任执行董事，师迪特获任首席财务官,泛远国际（02516）发布公告，董事会宣布杨志龙辞任公司执行董事兼财务总监，自2026年4月23日起生效。 同时，董事会宣布王添天被委任为执行董事，其于2025年3月1日被任命为公司行政总裁。此外，师迪特被委任为首席财务官。,2026-04-23 16:56:00,财中社,http://finance.eastmoney.com/a/202604233716075019.html
02516,02516,泛远国际：执行董事杨志龙辞任,南财智讯4月23日电，泛远国际（02516.HK）公告，公司执行董事杨志龙先生因希望将更多时间投入其他业务事务，已辞任公司执行董事兼财务总监，自2026年4月23日起生效。杨先生确认与董事会并无意见分歧，亦无其他须提请股东及香港联合交易所关注的事项。,2026-04-23 16:39:00,南方财经网,http://finance.eastmoney.com/a/202604233716032065.html
02516,02516,泛远国际：2025年净利润511.5万元 同比下降92.62%,中证智能财讯泛远国际（02516）4月15日披露2025年度报告。,2026-04-15 22:28:17,中国证券报·中证网,http://finance.eastmoney.com/a/202604153706345675.html
02516,02516,泛远国际：年度溢利同比减少不少于85.6%,南财智讯3月13日电，泛远国际（02516.HK）公告，本公司2025年度的拥有人应占盈利预计将少于人民币10百万元，较去年减少至少约85.6%。,2026-03-13 17:40:48,南方财经网,http://finance.eastmoney.com/a/202603133671606748.html
02516,02516,泛远国际预计2025年收益同比降26%-40% 盈利下滑85.6%,3月13日，泛远国际（02516）发布公告，预计截至2025年12月31日止年度的收益将约为18亿元至22亿元，较截至2024年12月31日止年度减少约26%至40%。这一减少主要是由于美国关税政策的变动，导致公司运往美国的货量有所减少。,2026-03-13 17:48:49,财中社,http://finance.eastmoney.com/a/202603133671616743.html
