stock_code,windcode,windcode_rule,company_name,company_display,list_date,list_year,pdf_filename,pdf_path,folder_year,filename_parsed,share_matched,list_price,listboard,delisted,is_unprofitable_proxy,eod_matched,first_trade_date,day0_open,day0_close,day1_return,day0_break_issue,day5_close,day5_return,day20_close,day20_return,day60_close,day60_return,performance_class,business_scope,industry_coarse,openable,encrypted,page_count,file_size_mb,has_text_layer,text_chars_page1,likely_scanned,error,page_length_class,company_name_raw,pdf_path_relative
00368,0368.HK,pad4,德合集團,德合集團,2020-06-30,2020,00368_30-06-2020_德合集團_股份發售.pdf,/nfs/users/wuqianqian/IPOI/dataset/2020/00368_30-06-2020_德合集團_股份發售.pdf,2020,True,False,,,False,False,True,2020-07-17,0.7,0.7,0.0,False,0.68,-0.02857142857142844,0.61,-0.12857142857142853,0.76,0.0857142857142858,平稳,,未知,True,False,420,4.81,False,0,True,,长篇(300-499页),德合集團,dataset/2020/00368_30-06-2020_德合集團_股份發售.pdf
00589,0589.HK,pad4,建中建設,建中建設,2020-02-28,2020,00589_28-02-2020_建中建設_股份發售.pdf,/nfs/users/wuqianqian/IPOI/dataset/2020/00589_28-02-2020_建中建設_股份發售.pdf,2020,True,False,,,False,False,True,2020-03-18,1.45,1.89,0.30344827586206896,False,2.04,0.406896551724138,1.89,0.30344827586206896,1.72,0.18620689655172407,暴涨,,未知,True,False,566,4.91,True,158,False,,超长篇(≥500页),建中建設,dataset/2020/00589_28-02-2020_建中建設_股份發售.pdf
00873,0873.HK,pad4,世茂服務,世茂服務,2020-10-20,2020,00873_20-10-2020_世茂服務_全球發售.pdf,/nfs/users/wuqianqian/IPOI/dataset/2020/00873_20-10-2020_世茂服務_全球發售.pdf,2020,True,False,,,False,False,True,2020-10-30,15.8,16.6,0.050632911392405104,False,16.0,0.01265822784810122,13.72,-0.13164556962025314,15.0,-0.050632911392405104,平稳,,未知,True,False,634,10.77,True,152,False,,超长篇(≥500页),世茂服務,dataset/2020/00873_20-10-2020_世茂服務_全球發售.pdf
00909,0909.HK,pad4,明源雲,明源雲,2020-09-15,2020,00909_15-09-2020_明源雲_全球發售.pdf,/nfs/users/wuqianqian/IPOI/dataset/2020/00909_15-09-2020_明源雲_全球發售.pdf,2020,True,False,,,False,False,True,2020-09-25,25.8,30.7,0.189922480620155,False,33.4,0.2945736434108526,34.25,0.3275193798449612,46.45,0.8003875968992249,平稳,,未知,True,False,619,9.13,True,118,False,,超长篇(≥500页),明源雲,dataset/2020/00909_15-09-2020_明源雲_全球發售.pdf
01147,1147.HK,strip_zero,伊登軟件,伊登軟件,2020-04-23,2020,01147_23-04-2020_伊登軟件_股份發售.pdf,/nfs/users/wuqianqian/IPOI/dataset/2020/01147_23-04-2020_伊登軟件_股份發售.pdf,2020,True,False,,,False,False,True,2020-05-13,0.211,0.163,-0.2274881516587677,True,0.172,-0.18483412322274886,0.127,-0.3981042654028436,0.133,-0.3696682464454976,破发/走弱,,未知,True,False,458,4.76,True,93,False,,长篇(300-499页),伊登軟件,dataset/2020/01147_23-04-2020_伊登軟件_股份發售.pdf
01153,1153.HK,strip_zero,佳源服務,佳源服務,2020-11-27,2020,01153_27-11-2020_佳源服務_全球發售.pdf,/nfs/users/wuqianqian/IPOI/dataset/2020/01153_27-11-2020_佳源服務_全球發售.pdf,2020,True,False,,,False,False,True,2020-12-09,3.92,3.88,-0.01020408163265307,True,3.87,-0.012755102040816282,3.95,0.007653061224489859,3.88,-0.01020408163265307,平稳,,未知,True,False,559,3.69,True,176,False,,超长篇(≥500页),佳源服務,dataset/2020/01153_27-11-2020_佳源服務_全球發售.pdf
01156,1156.HK,strip_zero,CHINANEWENERGY,CHINANEWENERGY,2020-06-30,2020,01156_30-06-2020_CHINANEWENERGY_全球發售.pdf,/nfs/users/wuqianqian/IPOI/dataset/2020/01156_30-06-2020_CHINANEWENERGY_全球發售.pdf,2020,True,False,,,False,False,True,2020-07-15,1.2,0.7,-0.4166666666666667,True,0.51,-0.575,0.445,-0.6291666666666667,0.33,-0.725,暴跌,,未知,True,False,498,7.67,True,164,False,,长篇(300-499页),CHINANEWENERGY,dataset/2020/01156_30-06-2020_CHINANEWENERGY_全球發售.pdf
01163,1163.HK,strip_zero,虎視傳媒,虎視傳媒,2020-06-29,2020,01163_29-06-2020_虎視傳媒_全球發售.pdf,/nfs/users/wuqianqian/IPOI/dataset/2020/01163_29-06-2020_虎視傳媒_全球發售.pdf,2020,True,False,,,False,False,True,2020-07-10,1.05,1.07,0.019047619047619063,False,1.06,0.009523809523809532,0.88,-0.16190476190476194,0.95,-0.09523809523809533,平稳,,未知,True,False,421,6.24,True,91,False,,长篇(300-499页),虎視傳媒,dataset/2020/01163_29-06-2020_虎視傳媒_全球發售.pdf
01167,1167.HK,strip_zero,加科思－Ｂ,加科思－Ｂ,2020-12-09,2020,01167_09-12-2020_加科思－Ｂ_全球發售.pdf,/nfs/users/wuqianqian/IPOI/dataset/2020/01167_09-12-2020_加科思－Ｂ_全球發售.pdf,2020,True,False,,,False,True,True,2020-12-21,15.98,14.42,-0.09762202753441804,True,14.4,-0.09887359198998748,20.9,0.3078848560700875,16.3,0.02002503128911141,破发/走弱,,未知,True,False,520,6.92,True,119,False,,超长篇(≥500页),加科思－Ｂ,dataset/2020/01167_09-12-2020_加科思－Ｂ_全球發售.pdf
01179,1179.HK,strip_zero,華住集團－Ｓ,華住集團－Ｓ,2020-09-11,2020,01179_11-09-2020_華住集團－Ｓ_全球發售.pdf,/nfs/users/wuqianqian/IPOI/dataset/2020/01179_11-09-2020_華住集團－Ｓ_全球發售.pdf,2020,True,False,,,False,False,True,2020-09-22,305.0,311.0,0.019672131147540985,False,340.6,0.11672131147540993,338.8,0.11081967213114756,364.0,0.19344262295081968,平稳,,未知,True,False,599,3.56,False,0,True,,超长篇(≥500页),華住集團－Ｓ,dataset/2020/01179_11-09-2020_華住集團－Ｓ_全球發售.pdf
