date,open,close
2019-10-08,10719.07,10813.46
2019-10-09,10749.53,10671.86
2019-10-10,10689.78,10756.6
2019-10-11,10879.51,10865.54
2019-10-14,10912.28,10949.67
2019-10-15,10967.64,10995.54
2019-10-16,11015.41,11023.05
2019-10-17,11067.19,11037.2
2019-10-18,11039.33,11065.69
2019-10-21,11069.76,11030.34
2019-10-22,11011.93,10964.2
2019-10-23,10888.34,10773.03
2019-10-24,10767.68,10746.39
2019-10-25,10769.13,10736.82
2019-10-28,10805.33,10945.75
2019-10-29,10970.48,10782.74
2019-10-30,10751.29,10792.08
2019-10-31,10870.87,10904.55
2019-11-01,10876.89,10941.58
2019-11-04,10971.0,11191.84
2019-11-05,11255.0,11307.19
2019-11-06,11325.44,11309.54
2019-11-07,11294.82,11334.0
2019-11-08,11360.74,11097.46
2019-11-11,11075.22,10881.47
2019-11-12,10992.69,11147.41
2019-11-13,11177.4,11056.07
2019-11-14,10918.46,10870.19
2019-11-15,10955.46,10922.97
2019-11-18,10966.49,11157.5
2019-11-19,11199.01,11296.03
2019-11-20,11258.16,11287.55
2019-11-21,11166.64,11014.19
2019-11-22,11260.83,11222.28
2019-11-25,11447.74,11363.51
2019-11-26,11425.89,11330.3
2019-11-27,11385.86,11388.84
2019-11-28,11391.3,11507.48
2019-11-29,11422.52,11288.18
2019-12-02,11381.81,11335.71
2019-12-03,11226.58,11278.96
2019-12-04,11167.99,11170.15
2019-12-05,11322.19,11263.37
2019-12-06,11357.57,11455.27
2019-12-09,11445.49,11448.4
2019-12-10,11365.54,11414.55
2019-12-11,11474.97,11550.9
2019-12-12,11666.2,11734.81
2019-12-13,12000.6,12016.0
2019-12-16,12040.66,12014.81
2019-12-17,12209.74,12295.71
2019-12-18,12449.95,12358.29
2019-12-19,12318.22,12339.84
2019-12-20,12381.64,12327.39
2019-12-23,12398.26,12372.5
2019-12-24,12406.83,12428.18
2019-12-25,12406.83,12428.18
2019-12-26,12406.83,12428.18
2019-12-27,12478.61,12615.47
2019-12-30,12544.17,12560.07
2019-12-31,12446.81,12385.91
2020-01-02,12408.12,12619.73
2020-01-03,12813.0,12653.57
2020-01-06,12571.92,12609.86
2020-01-07,12678.29,12784.29
2020-01-08,12654.81,12638.3
2020-01-09,12866.84,12918.67
2020-01-10,13023.66,13135.75
2020-01-13,13186.62,13438.2
2020-01-14,13557.88,13313.93
2020-01-15,13207.48,13326.17
2020-01-16,13284.89,13328.87
2020-01-17,13310.72,13400.94
2020-01-20,13535.07,13344.15
2020-01-21,13291.02,12946.09
2020-01-22,12987.52,13206.53
2020-01-23,13095.09,12895.22
2020-02-03,12315.89,12494.12
2020-02-04,12775.57,12916.0
2020-02-05,13117.28,12942.3
2020-02-06,13079.47,13174.98
2020-02-07,13129.62,13220.0
2020-02-10,12998.9,13060.3
2020-02-11,13162.24,13229.1
2020-02-12,13260.21,13379.66
2020-02-13,13505.93,13530.45
2020-02-14,13437.43,13419.34
2020-02-17,13325.18,13506.0
2020-02-18,13406.94,13250.37
2020-02-19,13304.13,13315.16
2020-02-20,13449.99,13365.97
2020-02-21,13231.18,13136.59
2020-02-24,12881.3,12796.97
2020-02-25,12742.48,13080.21
2020-02-26,12888.87,12938.73
2020-02-27,12921.07,13010.17
2020-02-28,12729.14,12573.65
2020-03-02,12548.24,12742.89
2020-03-03,12889.09,12794.87
2020-03-04,12856.17,12782.92
2020-03-05,12926.13,13146.24
2020-03-06,12930.71,12861.26
