date,open,close
2019-10-08,1277.98,1265.56
2019-10-09,1260.13,1248.68
2019-10-10,1249.79,1272.37
2019-10-11,1281.3,1292.11
2019-10-14,1303.03,1300.58
2019-10-15,1303.09,1293.95
2019-10-16,1293.09,1289.62
2019-10-17,1294.5,1298.74
2019-10-18,1300.61,1296.1
2019-10-21,1298.08,1289.88
2019-10-22,1293.16,1296.61
2019-10-23,1299.12,1286.75
2019-10-24,1292.53,1301.65
2019-10-25,1304.97,1303.85
2019-10-28,1310.06,1313.81
2019-10-29,1319.59,1312.57
2019-10-30,1316.2,1305.96
2019-10-31,1313.06,1321.78
2019-11-01,1322.73,1338.72
2019-11-04,1347.66,1364.74
2019-11-05,1370.04,1382.37
2019-11-06,1385.69,1379.74
2019-11-07,1385.42,1381.13
2019-11-08,1384.88,1378.36
2019-11-11,1371.59,1335.82
2019-11-12,1342.59,1339.1
2019-11-13,1332.01,1325.4
2019-11-14,1325.09,1320.04
2019-11-15,1327.87,1315.78
2019-11-18,1322.39,1327.6
2019-11-19,1329.91,1359.62
2019-11-20,1356.56,1353.96
2019-11-21,1343.86,1326.91
2019-11-22,1331.23,1332.87
2019-11-25,1343.67,1347.49
2019-11-26,1355.33,1348.82
2019-11-27,1350.76,1352.93
2019-11-28,1349.51,1357.01
2019-11-29,1354.95,1336.05
2019-12-02,1339.41,1341.52
2019-12-03,1340.14,1349.16
2019-12-04,1343.78,1330.78
2019-12-05,1344.5,1361.25
2019-12-06,1366.68,1387.21
2019-12-09,1392.86,1397.85
2019-12-10,1399.53,1390.12
2019-12-11,1392.15,1407.46
2019-12-12,1413.78,1419.84
2019-12-13,1438.55,1445.52
2019-12-16,1446.92,1460.26
2019-12-17,1465.11,1470.59
2019-12-18,1477.44,1469.64
2019-12-19,1472.0,1460.05
2019-12-20,1458.75,1442.0
2019-12-23,1446.78,1449.96
2019-12-24,1446.88,1448.67
2019-12-25,1446.88,1448.67
2019-12-26,1446.88,1448.67
2019-12-27,1454.89,1464.46
2019-12-30,1465.47,1468.78
2019-12-31,1462.74,1473.97
2020-01-02,1479.2,1516.24
2020-01-03,1529.42,1502.34
2020-01-06,1499.89,1474.13
2020-01-07,1476.54,1475.48
2020-01-08,1462.25,1462.4
2020-01-09,1479.49,1505.78
2020-01-10,1516.27,1513.41
2020-01-13,1517.99,1521.72
2020-01-14,1533.6,1514.58
2020-01-15,1514.51,1513.29
2020-01-16,1519.23,1510.18
2020-01-17,1522.14,1532.83
2020-01-20,1536.22,1523.67
2020-01-21,1518.33,1477.09
2020-01-22,1484.87,1512.03
2020-01-23,1506.47,1462.02
2020-02-03,1338.97,1349.46
2020-02-04,1355.05,1386.8
2020-02-05,1405.4,1401.27
2020-02-06,1413.08,1425.37
2020-02-07,1429.44,1406.17
2020-02-10,1393.27,1409.44
2020-02-11,1419.56,1428.86
2020-02-12,1439.98,1453.32
2020-02-13,1460.06,1445.74
2020-02-14,1445.67,1439.77
2020-02-17,1437.58,1456.57
2020-02-18,1449.95,1436.69
2020-02-19,1440.26,1439.21
2020-02-20,1444.83,1441.81
2020-02-21,1437.61,1430.62
2020-02-24,1417.36,1403.37
2020-02-25,1393.62,1403.78
2020-02-26,1380.91,1388.24
2020-02-27,1385.21,1398.38
2020-02-28,1371.0,1344.06
2020-03-02,1342.94,1378.63
2020-03-03,1397.03,1370.99
2020-03-04,1376.96,1373.33
2020-03-05,1386.04,1397.53
2020-03-06,1381.83,1361.81
2020-03-09,1321.31,1300.05
2020-03-10,1300.66,1314.24
2020-03-11,1320.51,1313.1
2020-03-12,1292.81,1248.95
2020-03-13,1169.58,1236.97
2020-03-16,1215.59,1142.44
2020-03-17,1141.6,1140.12
2020-03-18,1129.63,1079.49
2020-03-19,1087.75,1055.65
2020-03-20,1068.71,1100.58
2020-03-23,1049.22,1049.16
2020-03-24,1070.89,1098.12
2020-03-25,1135.61,1151.02
2020-03-26,1145.42,1147.97
2020-03-27,1171.79,1155.73
2020-03-30,1136.57,1124.99
2020-03-31,1142.36,1149.58
2020-04-01,1147.78,1137.74
2020-04-02,1126.77,1143.38
2020-04-03,1136.03,1138.09
2020-04-07,1171.52,1195.92
2020-04-08,1194.97,1186.77
2020-04-09,1192.82,1197.88
2020-04-10,1192.82,1197.88
2020-04-13,1192.82,1197.88
2020-04-14,1201.18,1200.07
2020-04-15,1209.42,1193.02
2020-04-16,1183.72,1181.4
2020-04-17,1198.77,1206.96
2020-04-20,1208.2,1210.67
2020-04-21,1208.92,1185.52
2020-04-22,1177.34,1186.09
2020-04-23,1191.6,1182.96
2020-04-24,1184.58,1178.58
2020-04-27,1188.7,1193.85
2020-04-28,1197.58,1214.7
2020-04-29,1222.52,1222.8
2020-04-30,1222.52,1222.8
2020-05-06,1197.07,1224.93
2020-05-07,1232.46,1226.49
2020-05-08,1238.2,1245.57
2020-05-11,1259.61,1265.87
2020-05-12,1260.03,1255.61
2020-05-13,1250.35,1258.73
2020-05-14,1255.42,1246.16
2020-05-15,1249.85,1251.04
2020-05-18,1239.17,1227.59
2020-05-19,1249.45,1253.5
2020-05-20,1259.1,1256.4
2020-05-21,1264.66,1242.86
2020-05-22,1227.53,1187.42
2020-05-25,1182.64,1194.85
2020-05-26,1200.21,1204.74
2020-05-27,1203.73,1194.55
2020-05-28,1194.75,1180.54
2020-05-29,1174.64,1178.22
2020-06-01,1196.31,1217.26
2020-06-02,1219.81,1224.16
2020-06-03,1234.94,1236.68
2020-06-04,1244.45,1240.95
2020-06-05,1240.72,1260.57
2020-06-08,1270.34,1268.45
2020-06-09,1274.05,1278.74
2020-06-10,1284.82,1272.18
2020-06-11,1276.54,1249.78
2020-06-12,1225.8,1243.19
2020-06-15,1235.55,1223.85
2020-06-16,1242.33,1263.05
2020-06-17,1264.04,1264.83
2020-06-18,1261.09,1270.42
2020-06-19,1264.32,1274.91
2020-06-22,1272.15,1264.66
2020-06-23,1259.2,1263.14
2020-06-24,1266.3,1276.71
2020-06-29,1283.36,1273.4
2020-06-30,1282.96,1272.32
2020-07-01,1282.96,1272.32
2020-07-02,1286.34,1317.64
2020-07-03,1331.69,1358.16
2020-07-06,1372.18,1430.58
2020-07-07,1444.85,1400.45
2020-07-08,1429.1,1436.23
2020-07-09,1451.5,1463.2
2020-07-10,1460.41,1432.75
2020-07-13,1442.14,1458.05
2020-07-14,1454.91,1431.91
2020-07-15,1453.52,1414.71
2020-07-16,1421.92,1363.04
2020-07-17,1367.88,1378.88
2020-07-20,1387.03,1417.8
2020-07-21,1444.56,1448.03
2020-07-22,1443.6,1413.19
2020-07-23,1438.52,1442.73
2020-07-24,1433.89,1406.0
2020-07-27,1414.28,1407.18
2020-07-28,1419.51,1430.56
2020-07-29,1429.2,1431.07
2020-07-30,1438.83,1438.78
2020-07-31,1449.77,1439.82
2020-08-03,1453.61,1459.36
2020-08-04,1469.04,1474.08
2020-08-05,1483.63,1493.01
2020-08-06,1499.25,1490.29
2020-08-07,1493.95,1474.16
2020-08-10,1465.54,1447.48
2020-08-11,1458.22,1458.36
2020-08-12,1464.35,1454.57
2020-08-13,1463.9,1467.84
2020-08-14,1471.01,1472.37
2020-08-17,1482.09,1492.72
2020-08-18,1483.2,1465.57
2020-08-19,1460.37,1438.25
2020-08-20,1437.89,1432.0
2020-08-21,1438.79,1431.4
2020-08-24,1437.65,1447.05
2020-08-25,1447.47,1441.66
2020-08-26,1444.06,1420.34
2020-08-27,1419.75,1419.18
2020-08-28,1415.5,1420.82
2020-08-31,1430.25,1401.6
2020-09-01,1402.23,1413.43
2020-09-02,1421.43,1423.67
2020-09-03,1423.26,1410.21
2020-09-04,1389.32,1404.86
2020-09-07,1398.52,1389.5
2020-09-08,1396.69,1394.23
2020-09-09,1380.63,1391.68
2020-09-10,1403.29,1386.57
2020-09-11,1383.14,1396.85
2020-09-14,1408.36,1418.63
2020-09-15,1420.83,1425.33
2020-09-16,1428.32,1442.29
2020-09-17,1446.24,1445.67
2020-09-18,1450.86,1453.92
2020-09-21,1465.17,1434.84
2020-09-22,1432.34,1421.25
2020-09-23,1425.22,1429.98
2020-09-24,1428.53,1406.75
2020-09-25,1409.59,1385.38
2020-09-28,1387.8,1402.22
2020-09-29,1411.3,1412.07
2020-09-30,1424.84,1433.2
2020-10-09,1564.15,1513.03
2020-10-12,1526.92,1520.75
2020-10-13,1526.92,1520.75
2020-10-14,1530.03,1537.78
2020-10-15,1539.04,1515.03
2020-10-16,1524.33,1514.03
2020-10-19,1524.65,1506.66
2020-10-20,1510.91,1526.67
2020-10-21,1534.15,1520.49
2020-10-22,1517.18,1505.8
2020-10-23,1514.97,1506.24
2020-10-26,1514.97,1506.24
2020-10-27,1504.99,1504.45
2020-10-28,1511.47,1491.04
2020-10-29,1478.65,1512.42
2020-10-30,1523.72,1497.91
2020-11-02,1517.48,1506.86
2020-11-03,1516.49,1534.49
2020-11-04,1537.24,1514.32
2020-11-05,1556.52,1579.04
2020-11-06,1603.06,1610.66
2020-11-09,1637.91,1667.66
2020-11-10,1666.52,1633.0
2020-11-11,1623.07,1616.23
2020-11-12,1630.21,1632.36
2020-11-13,1637.75,1631.17
2020-11-16,1653.35,1641.99
2020-11-17,1651.54,1661.54
2020-11-18,1662.44,1684.69
2020-11-19,1686.84,1674.42
2020-11-20,1680.29,1684.02
2020-11-23,1698.3,1723.11
2020-11-24,1740.1,1738.31
2020-11-25,1745.81,1696.13
2020-11-26,1699.14,1700.12
2020-11-27,1697.46,1688.78
2020-11-30,1701.54,1679.17
2020-12-01,1679.19,1702.71
2020-12-02,1704.31,1684.55
2020-12-03,1690.94,1679.85
2020-12-04,1685.54,1680.36
2020-12-07,1695.47,1671.3
2020-12-08,1674.09,1680.81
2020-12-09,1687.97,1670.31
2020-12-10,1660.0,1665.97
2020-12-11,1679.84,1669.91
2020-12-14,1669.29,1685.14
2020-12-15,1696.88,1707.69
2020-12-16,1751.09,1728.58
2020-12-17,1724.59,1755.42
2020-12-18,1757.61,1779.67
2020-12-21,1791.55,1806.68
2020-12-22,1802.04,1778.28
2020-12-23,1792.27,1825.78
2020-12-24,1834.2,1847.11
2020-12-25,1834.2,1847.11
2020-12-28,1853.32,1872.08
2020-12-29,1884.4,1869.73
2020-12-30,1879.79,1905.28
2020-12-31,1909.65,1923.48
2021-01-04,1926.04,1987.23
2021-01-05,1983.07,1983.97
2021-01-06,1995.38,2000.56
2021-01-07,2018.03,2027.78
2021-01-08,2082.91,2069.61
2021-01-11,2084.29,2038.35
2021-01-12,2042.7,2055.95
2021-01-13,2058.64,2094.0
2021-01-14,2105.42,2066.2
2021-01-15,2051.04,2027.03
2021-01-18,2022.4,2092.75
2021-01-19,2120.98,2140.61
