date,open,close
2019-10-08,3907.98,3875.37
2019-10-09,3856.23,3862.29
2019-10-10,3863.16,3843.66
2019-10-11,3877.32,3961.57
2019-10-14,3992.58,3978.03
2019-10-15,3985.44,3958.68
2019-10-16,3967.03,4040.33
2019-10-17,4056.23,4055.96
2019-10-18,4064.59,4031.4
2019-10-21,4034.48,4041.89
2019-10-22,4040.43,4009.71
2019-10-23,4014.64,3980.22
2019-10-24,3991.19,4020.73
2019-10-25,4025.69,4024.47
2019-10-28,4048.67,4045.62
2019-10-29,4068.47,4049.62
2019-10-30,4048.36,4037.65
2019-10-31,4041.9,4059.17
2019-11-01,4043.29,4109.86
2019-11-04,4133.67,4178.54
2019-11-05,4191.3,4199.81
2019-11-06,4204.21,4219.7
2019-11-07,4215.77,4231.46
2019-11-08,4230.17,4192.43
2019-11-11,4150.21,4059.01
2019-11-12,4085.04,4074.56
2019-11-13,4031.02,3984.1
2019-11-14,3978.75,3953.32
2019-11-15,3975.7,3943.34
2019-11-18,3953.9,4007.71
2019-11-19,4002.53,4084.75
2019-11-20,4068.17,4073.24
2019-11-21,4029.75,4005.65
2019-11-22,4023.84,4020.62
2019-11-25,4048.85,4117.01
2019-11-26,4143.03,4092.95
2019-11-27,4104.43,4097.04
2019-11-28,4073.33,4096.83
2019-11-29,4077.49,4023.26
2019-12-02,4044.38,4078.74
2019-12-03,4069.36,4075.79
2019-12-04,4032.72,4014.79
2019-12-05,4045.66,4035.14
2019-12-06,4054.47,4076.16
2019-12-09,4084.02,4115.48
2019-12-10,4100.16,4100.92
2019-12-11,4102.76,4143.25
2019-12-12,4161.5,4165.48
2019-12-13,4207.0,4231.05
2019-12-16,4212.74,4235.91
2019-12-17,4247.28,4243.17
2019-12-18,4241.06,4240.46
2019-12-19,4242.51,4228.96
2019-12-20,4238.48,4276.33
2019-12-23,4280.19,4287.26
2019-12-24,4288.56,4274.39
2019-12-25,4288.56,4274.39
2019-12-26,4288.56,4274.39
2019-12-27,4302.36,4343.53
2019-12-30,4351.91,4384.41
2019-12-31,4368.35,4391.95
2020-01-02,4407.79,4461.47
2020-01-03,4499.17,4422.55
2020-01-06,4403.38,4355.94
2020-01-07,4373.5,4367.61
2020-01-08,4316.12,4343.11
2020-01-09,4380.86,4408.66
2020-01-10,4397.8,4385.78
2020-01-13,4407.42,4403.78
2020-01-14,4438.71,4410.04
2020-01-15,4417.49,4395.7
2020-01-16,4405.57,4466.58
2020-01-17,4478.27,4474.79
2020-01-20,4473.47,4402.3
2020-01-21,4366.47,4247.35
2020-01-22,4259.56,4287.91
2020-01-23,4241.34,4180.81
2020-02-03,3881.3,3899.0
2020-02-04,3917.07,3978.14
2020-02-05,4002.44,3980.91
2020-02-06,4021.31,4079.73
2020-02-07,4069.61,4062.4
2020-02-10,4027.59,4070.97
2020-02-11,4103.71,4134.3
2020-02-12,4144.72,4161.66
2020-02-13,4169.38,4196.22
2020-02-14,4196.66,4252.63
2020-02-17,4255.75,4262.94
2020-02-18,4236.38,4185.47
2020-02-19,4188.23,4217.43
2020-02-20,4225.35,4175.32
2020-02-21,4157.5,4117.78
2020-02-24,4094.73,4052.39
2020-02-25,4036.27,4063.42
2020-02-26,4009.8,4082.21
2020-02-27,4069.7,4152.63
2020-02-28,4062.24,4048.69
2020-03-02,4048.32,4127.22
2020-03-03,4172.55,4116.45
2020-03-04,4134.17,4185.45
2020-03-05,4206.64,4232.4
2020-03-06,4196.28,4131.35
2020-03-09,4018.16,3931.17
2020-03-10,3999.87,3983.21
2020-03-11,4004.31,3992.94
2020-03-12,3935.72,3861.39
2020-03-13,3615.81,3790.77
2020-03-16,3688.36,3628.63
2020-03-17,3613.35,3570.81
2020-03-18,3545.04,3382.6
2020-03-19,3354.98,3233.87
2020-03-20,3296.86,3427.87
2020-03-23,3239.64,3237.5
2020-03-24,3339.22,3385.65
2020-03-25,3479.5,3552.33
2020-03-26,3532.02,3535.82
2020-03-27,3609.86,3600.36
2020-03-30,3533.72,3543.79
2020-03-31,3613.41,3660.06
2020-04-01,3618.67,3619.53
2020-04-02,3590.88,3642.93
2020-04-03,3606.52,3631.92
2020-04-07,3759.11,3798.53
2020-04-08,3779.19,3756.26
2020-04-09,3789.13,3820.63
2020-04-10,3789.13,3820.63
2020-04-13,3789.13,3820.63
2020-04-14,3825.62,3862.63
2020-04-15,3867.19,3770.73
2020-04-16,3743.55,3760.91
2020-04-17,3823.04,3831.3
2020-04-20,3836.63,3806.01
2020-04-21,3798.87,3734.08
2020-04-22,3705.4,3738.62
2020-04-23,3773.37,3768.22
2020-04-24,3756.9,3723.17
2020-04-27,3737.98,3805.96
2020-04-28,3813.77,3847.52
2020-04-29,3885.59,3896.95
2020-04-30,3885.59,3896.95
2020-05-06,3757.33,3781.13
2020-05-07,3780.64,3774.04
2020-05-08,3805.72,3834.59
2020-05-11,3860.66,3877.68
2020-05-12,3852.29,3794.6
2020-05-13,3781.57,3799.24
2020-05-14,3768.58,3726.4
2020-05-15,3735.47,3725.09
2020-05-18,3729.56,3756.71
2020-05-19,3827.65,3798.94
2020-05-20,3811.27,3765.09
2020-05-21,3782.79,3745.67
2020-05-22,3670.8,3513.67
2020-05-25,3489.36,3522.76
2020-05-26,3551.42,3591.38
2020-05-27,3598.51,3550.06
2020-05-28,3521.22,3522.07
2020-05-29,3476.66,3542.61
2020-06-01,3610.11,3685.33
2020-06-02,3688.26,3739.75
2020-06-03,3781.77,3753.11
2020-06-04,3797.45,3747.74
2020-06-05,3742.33,3825.44
2020-06-08,3856.47,3829.53
2020-06-09,3839.05,3884.85
2020-06-10,3900.03,3875.88
2020-06-11,3863.6,3783.96
2020-06-12,3697.52,3782.36
2020-06-15,3738.97,3695.63
2020-06-16,3767.88,3774.15
2020-06-17,3780.17,3808.05
2020-06-18,3794.55,3820.96
2020-06-19,3802.51,3863.61
2020-06-22,3850.95,3804.23
2020-06-23,3789.12,3802.96
2020-06-24,3803.27,3774.81
2020-06-29,3770.07,3716.84
2020-06-30,3733.55,3700.05
2020-07-01,3733.55,3700.05
2020-07-02,3773.82,3899.36
2020-07-03,3932.51,3949.93
2020-07-06,3984.01,4110.97
2020-07-07,4120.14,4025.12
2020-07-08,4000.85,4016.51
2020-07-09,4044.34,3979.08
2020-07-10,3961.74,3931.13
2020-07-13,3948.98,3934.78
2020-07-14,3921.66,3888.73
2020-07-15,3924.76,3879.73
2020-07-16,3891.7,3793.92
2020-07-17,3802.39,3804.34
2020-07-20,3806.37,3878.07
2020-07-21,3894.6,3899.18
2020-07-22,3893.86,3810.16
2020-07-23,3817.39,3820.66
2020-07-24,3792.21,3748.17
2020-07-27,3773.36,3722.58
2020-07-28,3761.12,3734.03
2020-07-29,3725.52,3776.42
2020-07-30,3794.61,3795.73
2020-07-31,3808.24,3816.12
2020-08-03,3830.17,3820.85
2020-08-04,3849.62,3867.4
2020-08-05,3872.02,3867.21
2020-08-06,3890.98,3867.87
2020-08-07,3865.9,3850.85
2020-08-10,3851.54,3834.57
2020-08-11,3861.36,3882.78
2020-08-12,3880.27,3909.0
2020-08-13,3923.72,3909.97
2020-08-14,3898.16,3931.92
2020-08-17,3933.41,3953.79
2020-08-18,3958.0,3950.42
2020-08-19,3954.95,3934.69
2020-08-20,3924.02,3890.99
2020-08-21,3913.74,3935.41
2020-08-24,3964.82,3978.62
2020-08-25,3980.81,3940.86
2020-08-26,3935.75,3949.94
2020-08-27,3962.91,3905.09
2020-08-28,3906.79,3938.13
2020-08-31,3970.46,3887.58
2020-09-01,3884.13,3861.25
2020-09-02,3867.04,3882.33
2020-09-03,3884.97,3894.01
2020-09-04,3856.49,3859.08
2020-09-07,3859.34,3829.38
2020-09-08,3846.52,3815.51
2020-09-09,3771.61,3788.62
2020-09-10,3801.09,3776.79
2020-09-11,3770.27,3774.66
2020-09-14,3777.34,3793.89
2020-09-15,3791.57,3856.21
2020-09-16,3866.33,3873.6
2020-09-17,3869.78,3824.55
2020-09-18,3824.2,3834.72
2020-09-21,3849.56,3767.76
2020-09-22,3764.46,3735.36
2020-09-23,3729.26,3719.74
2020-09-24,3699.72,3681.51
2020-09-25,3685.01,3611.71
2020-09-28,3621.58,3652.92
2020-09-29,3652.03,3618.11
2020-09-30,3659.11,3681.28
2020-10-09,3786.61,3752.53
2020-10-12,3759.92,3779.82
2020-10-13,3759.92,3779.82
2020-10-14,3776.18,3717.34
2020-10-15,3710.59,3670.75
2020-10-16,3677.02,3667.59
2020-10-19,3679.85,3658.67
2020-10-20,3649.16,3646.93
2020-10-21,3655.48,3623.01
2020-10-22,3614.24,3630.43
2020-10-23,3633.06,3624.3
2020-10-26,3633.06,3624.3
2020-10-27,3620.24,3550.58
2020-10-28,3553.15,3518.36
2020-10-29,3490.04,3548.86
2020-10-30,3540.58,3526.59
2020-11-02,3543.46,3531.56
2020-11-03,3550.49,3593.8
2020-11-04,3591.1,3633.03
2020-11-05,3693.47,3776.25
2020-11-06,3782.47,3786.79
2020-11-09,3816.36,3773.66
2020-11-10,3829.41,3863.81
