date,open,close
2019-10-08,13723.39,13965.34
2019-10-09,13931.69,13887.37
2019-10-10,13926.12,14232.72
2019-10-11,14270.03,14189.75
2019-10-14,14272.22,14463.9
2019-10-15,14515.74,14508.69
2019-10-16,14512.09,14618.12
2019-10-17,14661.26,14646.3
2019-10-18,14652.25,14790.76
2019-10-21,14816.03,14715.65
2019-10-22,14762.13,14675.19
2019-10-23,14702.74,14394.04
2019-10-24,14457.75,14516.15
2019-10-25,14565.66,14871.56
2019-10-28,14934.41,15120.72
2019-10-29,15194.49,15300.83
2019-10-30,15371.38,15318.64
2019-10-31,15394.37,15467.69
2019-11-01,15306.92,15307.09
2019-11-04,15390.92,15723.32
2019-11-05,15733.96,15506.0
2019-11-06,15516.51,15535.92
2019-11-07,15593.38,15856.51
2019-11-08,15921.04,15789.66
2019-11-11,15813.42,15479.57
2019-11-12,15565.69,15456.35
2019-11-13,15295.79,15410.67
2019-11-14,15473.38,15391.31
2019-11-15,15461.34,15350.41
2019-11-18,15373.54,15333.14
2019-11-19,15402.72,15767.96
2019-11-20,15716.56,15641.72
2019-11-21,15566.98,15351.91
2019-11-22,15373.75,15321.21
2019-11-25,15381.05,15043.64
2019-11-26,15117.79,15098.3
2019-11-27,15036.02,15040.09
2019-11-28,14949.55,15072.62
2019-11-29,14826.31,14433.97
2019-12-02,14456.37,14304.4
2019-12-03,14275.14,14371.8
2019-12-04,14328.89,14240.93
2019-12-05,14377.54,14485.68
2019-12-06,14521.1,14707.51
2019-12-09,14741.25,14377.12
2019-12-10,14382.02,14343.88
2019-12-11,14323.73,14466.17
2019-12-12,14553.89,14594.17
2019-12-13,14738.73,14686.23
2019-12-16,14668.87,14717.4
2019-12-17,14766.86,15049.67
2019-12-18,15086.13,14988.92
2019-12-19,15017.16,14997.88
2019-12-20,15050.39,14953.69
2019-12-23,14993.24,15113.02
2019-12-24,15110.55,15080.09
2019-12-25,15110.55,15080.09
2019-12-26,15110.55,15080.09
2019-12-27,15164.48,15211.13
2019-12-30,15236.35,15147.06
2019-12-31,15143.99,15198.01
2020-01-02,15219.35,15310.61
2020-01-03,15427.98,15251.58
2020-01-06,15199.41,14831.36
2020-01-07,14908.52,15173.85
2020-01-08,14943.49,15069.13
2020-01-09,15219.32,15355.48
2020-01-10,15329.72,15244.82
2020-01-13,15305.24,15434.8
2020-01-14,15578.4,15426.47
2020-01-15,15425.19,15485.3
2020-01-16,15551.03,15889.96
2020-01-17,16005.55,16150.04
2020-01-20,16272.94,16356.69
2020-01-21,16393.14,16131.36
2020-01-22,16234.31,16450.61
2020-01-23,16491.01,15952.95
2020-02-03,15072.18,15234.21
2020-02-04,15574.98,15654.31
2020-02-05,16014.27,15842.63
2020-02-06,16038.98,16181.23
2020-02-07,16161.6,16239.33
2020-02-10,16144.61,16462.96
2020-02-11,16601.87,16463.32
2020-02-12,16590.0,16547.94
2020-02-13,16624.57,16564.77
2020-02-14,16560.81,16593.0
2020-02-17,16643.4,16809.54
2020-02-18,16806.62,16808.62
2020-02-19,16898.82,16695.55
2020-02-20,16876.68,16745.4
2020-02-21,16670.75,16535.99
2020-02-24,16507.85,16171.72
2020-02-25,16086.29,16371.2
2020-02-26,16204.02,16078.21
2020-02-27,16050.57,16304.72
2020-02-28,16000.21,15962.85
2020-03-02,15957.72,16202.14
2020-03-03,16415.09,16453.44
2020-03-04,16574.09,16489.66
2020-03-05,16637.41,16931.87
2020-03-06,16757.19,16900.03
2020-03-09,16342.72,16017.78
2020-03-10,16064.84,15965.51
2020-03-11,16071.09,15880.18
2020-03-12,15715.53,15035.98
2020-03-13,13883.11,14946.99
2020-03-16,14628.54,13903.32
2020-03-17,13833.96,13924.26
2020-03-18,13910.57,13404.94
2020-03-19,13417.4,12943.75
2020-03-20,13258.08,13663.72
2020-03-23,13133.17,13009.56
2020-03-24,13532.91,13612.77
2020-03-25,14144.25,14334.44
2020-03-26,14402.53,14572.01
2020-03-27,14973.92,14413.77
2020-03-30,14235.6,14319.26
2020-03-31,14335.4,14333.99
2020-04-01,14176.31,14101.27
2020-04-02,14233.76,14609.13
2020-04-03,14594.21,14766.78
2020-04-07,15290.61,15350.99
2020-04-08,15394.82,15309.75
2020-04-09,15478.03,15669.3
2020-04-10,15478.03,15669.3
2020-04-13,15478.03,15669.3
2020-04-14,15790.29,15885.67
2020-04-15,15965.74,15842.53
2020-04-16,15833.41,16004.5
2020-04-17,16276.03,16034.89
2020-04-20,16092.34,16504.99
2020-04-21,16375.23,16043.6
2020-04-22,15891.88,16504.0
2020-04-23,16664.06,16677.38
2020-04-24,16668.77,16203.34
2020-04-27,16435.21,16456.75
2020-04-28,16535.03,16491.95
2020-04-29,16696.29,16354.94
2020-04-30,16696.29,16354.94
2020-05-06,16049.69,16230.22
2020-05-07,16288.46,16470.23
2020-05-08,16623.49,16676.75
2020-05-11,16858.78,16769.54
2020-05-12,16785.44,17011.2
2020-05-13,17016.71,17323.06
2020-05-14,17283.84,17221.63
2020-05-15,17307.14,17441.36
2020-05-18,17481.86,17542.48
2020-05-19,17824.39,17475.6
2020-05-20,17520.5,17685.91
2020-05-21,17709.96,17404.31
2020-05-22,17013.74,16440.44
2020-05-25,16386.76,16667.26
2020-05-26,16865.86,16989.66
2020-05-27,17120.26,16770.86
2020-05-28,16713.28,16137.5
2020-05-29,16028.33,16679.85
2020-06-01,17000.88,17340.09
2020-06-02,17461.94,17631.75
2020-06-03,17908.93,17855.68
2020-06-04,18114.13,17923.63
2020-06-05,17975.94,17941.64
2020-06-08,17974.48,17625.79
2020-06-09,17625.03,17824.68
2020-06-10,17936.22,17902.57
2020-06-11,17953.57,17753.95
2020-06-12,17391.51,17965.09
2020-06-15,17812.17,17624.37
2020-06-16,18117.32,18200.8
2020-06-17,18301.37,18687.9
2020-06-18,18600.35,18696.97
2020-06-19,18749.42,18949.03
2020-06-22,18948.63,18632.2
2020-06-23,18698.64,19078.41
2020-06-24,19180.87,19242.27
2020-06-29,19367.66,19258.91
2020-06-30,19249.72,19280.57
2020-07-01,19249.72,19280.57
2020-07-02,19504.0,19545.79
2020-07-03,19775.98,19813.03
2020-07-06,19973.36,19722.03
2020-07-07,19861.27,19757.96
2020-07-08,20068.17,20148.51
2020-07-09,20357.53,20410.48
2020-07-10,20327.21,20358.69
2020-07-13,20513.17,20895.05
2020-07-14,20713.17,20374.64
2020-07-15,20622.1,20544.98
2020-07-16,20683.51,19322.42
2020-07-17,19348.53,19845.08
2020-07-20,20022.82,19893.83
2020-07-21,20249.84,20807.89
2020-07-22,20880.09,20569.76
2020-07-23,20988.82,21309.33
2020-07-24,20816.19,19893.72
2020-07-27,19981.4,19749.01
2020-07-28,20060.68,19990.6
2020-07-29,20063.87,20220.06
2020-07-30,20508.39,20462.2
2020-07-31,20640.15,20451.59
2020-08-03,20614.67,20729.95
2020-08-04,20914.18,20755.95
