date,open,high,low,close,volume,source
2019-10-02,1575.43,1585.75,1562.9,1572.71,164979642,akshare.stock_hk_index_daily_sina(HSMOGI)
2019-10-03,1555.93,1573.49,1550.03,1566.09,149943945,akshare.stock_hk_index_daily_sina(HSMOGI)
2019-10-04,1574.27,1575.8,1535.13,1544.88,163857012,akshare.stock_hk_index_daily_sina(HSMOGI)
2019-10-08,1542.02,1573.96,1539.5,1557.29,265255853,akshare.stock_hk_index_daily_sina(HSMOGI)
2019-10-09,1542.37,1552.08,1534.54,1538.02,155779103,akshare.stock_hk_index_daily_sina(HSMOGI)
2019-10-10,1532.56,1550.66,1527.31,1546.98,161457585,akshare.stock_hk_index_daily_sina(HSMOGI)
2019-10-11,1572.94,1613.78,1572.94,1606.25,297906115,akshare.stock_hk_index_daily_sina(HSMOGI)
2019-10-14,1608.79,1614.55,1586.23,1605.79,192450996,akshare.stock_hk_index_daily_sina(HSMOGI)
2019-10-15,1589.6,1596.39,1582.09,1586.65,146126296,akshare.stock_hk_index_daily_sina(HSMOGI)
2019-10-16,1585.53,1585.53,1566.38,1579.54,197794700,akshare.stock_hk_index_daily_sina(HSMOGI)
2019-10-17,1588.93,1598.1,1578.79,1585.65,167765662,akshare.stock_hk_index_daily_sina(HSMOGI)
2019-10-18,1587.85,1589.39,1563.18,1568.47,201151015,akshare.stock_hk_index_daily_sina(HSMOGI)
2019-10-21,1560.7,1580.45,1560.7,1578.13,131248625,akshare.stock_hk_index_daily_sina(HSMOGI)
2019-10-22,1577.11,1588.84,1572.55,1576.46,115093912,akshare.stock_hk_index_daily_sina(HSMOGI)
2019-10-23,1576.65,1585.24,1560.4,1575.19,157334326,akshare.stock_hk_index_daily_sina(HSMOGI)
2019-10-24,1581.44,1596.76,1571.82,1594.63,186354730,akshare.stock_hk_index_daily_sina(HSMOGI)
2019-10-25,1601.45,1626.34,1599.89,1615.79,166694030,akshare.stock_hk_index_daily_sina(HSMOGI)
2019-10-28,1623.84,1634.64,1617.38,1629.39,171551518,akshare.stock_hk_index_daily_sina(HSMOGI)
2019-10-29,1632.39,1633.96,1614.2,1619.35,174377540,akshare.stock_hk_index_daily_sina(HSMOGI)
2019-10-30,1605.05,1606.8,1579.97,1590.57,224418840,akshare.stock_hk_index_daily_sina(HSMOGI)
2019-10-31,1580.62,1593.44,1570.65,1572.96,464646793,akshare.stock_hk_index_daily_sina(HSMOGI)
2019-11-01,1567.5,1584.38,1563.49,1579.91,269853114,akshare.stock_hk_index_daily_sina(HSMOGI)
2019-11-04,1596.65,1615.33,1590.57,1605.78,285713106,akshare.stock_hk_index_daily_sina(HSMOGI)
2019-11-05,1609.49,1642.39,1598.33,1637.71,299908469,akshare.stock_hk_index_daily_sina(HSMOGI)
2019-11-06,1632.92,1647.54,1632.92,1641.45,174434462,akshare.stock_hk_index_daily_sina(HSMOGI)
2019-11-07,1634.3,1652.93,1630.27,1645.73,200416284,akshare.stock_hk_index_daily_sina(HSMOGI)
2019-11-08,1639.95,1650.0,1635.58,1643.67,204288015,akshare.stock_hk_index_daily_sina(HSMOGI)
2019-11-11,1627.16,1630.66,1588.49,1601.98,282072593,akshare.stock_hk_index_daily_sina(HSMOGI)
2019-11-12,1617.65,1617.65,1585.13,1604.42,159720518,akshare.stock_hk_index_daily_sina(HSMOGI)
2019-11-13,1582.26,1586.13,1561.06,1574.13,268102798,akshare.stock_hk_index_daily_sina(HSMOGI)
