wind_norm,name,ede_list_date,board,industry_concept,concepts,industry_hsics,hsics_l1_name,hsics_index_code,hsics_index_name,industry,industry_source
1811.HK,中广核新能源,2014-10-03,主板,新能源/汽车,万得(港股)中国企业综合指数成份;[HK]港股通;[HK]新能源;[HK]中广核;[HK]核电;[HK]央企;[HK]一带一路;[HK]国企,其他,公用事业,HSCIUT.HI,恒生综合行业指数-公用事业,新能源/汽车,concept
1812.HK,晨鸣纸业,2008-06-18,主板,其他,万得(港股)中国企业综合指数成份;[HK]纸业;[HK]人民币升值;[HK]地方国企;[HK]国企改革;[HK]国企,工业/制造,原材料业,HSCIMT.HI,恒生综合行业指数-原材料业,工业/制造,hsics
1813.HK,合景泰富集团,2007-07-03,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]蓝筹地产;[HK]内地房地产;[HK]粤港澳大湾区;[HK]纳入MSCI香港,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
1815.HK,珠峰黄金,2018-03-13,主板,其他,万得(港股)中国企业综合指数成份;[HK]贵金属;[HK]黄金珠宝,工业/制造,原材料业,HSCIMT.HI,恒生综合行业指数-原材料业,工业/制造,hsics
1816.HK,中广核电力,2014-12-10,主板,新能源/汽车,万得(港股)中国企业综合指数成份;[HK]老经济;[HK]港股通;[HK]核心资产;[HK]中广核;[HK]国企改革;[HK]央企;[HK]核电;[HK]一带一路;[HK]纳入MSCI香港;[HK]国企;[HK]新能源,其他,公用事业,HSCIUT.HI,恒生综合行业指数-公用事业,新能源/汽车,concept
1817.HK,慕尚集团控股,2019-05-27,主板,其他,万得(港股)中国企业综合指数成份,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
1818.HK,招金矿业,2006-12-08,主板,工业/制造,万得(港股)中国企业综合指数成份;[HK]老经济;[HK]港股通;[HK]有色金属;[HK]核心资产;[HK]国企改革;[HK]纳入MSCI香港;[HK]地方国企;[HK]贵金属;[HK]国企,工业/制造,原材料业,HSCIMT.HI,恒生综合行业指数-原材料业,工业/制造,hsics
1820.HK,济丰包装,2018-12-21,主板,其他,万得(港股)中国企业综合指数成份,工业/制造,工业,HSCIIN.HI,恒生综合行业指数-工业,工业/制造,hsics
1822.HK,中木国际,2009-12-16,主板,TMT/互联网,万得(港股)中国企业综合指数成份;[HK]移动互联网,工业/制造,原材料业,HSCIMT.HI,恒生综合行业指数-原材料业,工业/制造,hsics
1823.HK,华昱高速,2009-12-23,主板,其他,万得(港股)中国企业综合指数成份,消费/零售,必需性消费,HSCICS.HI,恒生综合行业指数-必需性消费,消费/零售,hsics
1825.HK,STERLING GP,2018-10-19,主板,其他,万得(港股)中国企业综合指数成份,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
1826.HK,丰展控股,2015-09-30,主板,其他,万得(港股)中国企业综合指数成份;[HK]外资企业,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
1827.HK,卓珈控股,2017-01-10,主板,其他,万得(港股)中国企业综合指数成份;[HK]化妆美容,生物科技/医药,医疗保健业,HSCIH.HI,恒生综合行业指数-医疗保健业,生物科技/医药,hsics
1828.HK,富卫集团,2025-07-07,主板,其他,[HK]港股通;[HK]外资企业,金融,金融业,HSCIFN.HI,恒生综合行业指数-金融业,金融,hsics
1830.HK,完美医疗,2012-02-10,主板,教育/服务,万得(港股)中国企业综合指数成份;[HK]医美;[HK]化妆美容;[HK]现代服务业,生物科技/医药,医疗保健业,HSCIH.HI,恒生综合行业指数-医疗保健业,生物科技/医药,hsics
1831.HK,十方控股,2010-12-03,主板,TMT/互联网,万得(港股)中国企业综合指数成份;[HK]文化传媒;[HK]影视传媒,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
1832.HK,海天地悦旅,2019-05-16,主板,其他,[HK]外资企业,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
1833.HK,平安好医生,2018-05-04,主板,生物科技/医药,[HK]养老产业;万得(港股)中国企业综合指数成份;[HK]港股通;[HK]互联网医疗;[HK]新冠肺炎;[HK]核心资产;[HK]智能医疗;[HK]纳入MSCI香港,生物科技/医药,医疗保健业,HSCIH.HI,恒生综合行业指数-医疗保健业,生物科技/医药,hsics
1835.HK,瑞威资管,2018-11-13,主板,其他,万得(港股)中国企业综合指数成份,金融,金融业,HSCIFN.HI,恒生综合行业指数-金融业,金融,hsics
1836.HK,九兴控股,2007-07-06,主板,其他,[HK]港股通;[HK]合资企业,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
1837.HK,五谷磨房,2018-12-12,主板,其他,万得(港股)中国企业综合指数成份;[HK]外资企业,消费/零售,必需性消费,HSCICS.HI,恒生综合行业指数-必需性消费,消费/零售,hsics
1841.HK,优越集团控股,2016-04-19,主板,其他,万得(港股)中国企业综合指数成份;[HK]外资企业,工业/制造,工业,HSCIIN.HI,恒生综合行业指数-工业,工业/制造,hsics
1842.HK,植华集团,2019-06-28,主板,其他,[HK]外资企业,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
1843.HK,快餐帝国,2019-10-23,主板,其他,[HK]外资企业,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
1845.HK,维港环保科技,2019-01-03,主板,其他,万得(港股)中国企业综合指数成份,工业/制造,工业,HSCIIN.HI,恒生综合行业指数-工业,工业/制造,hsics
1846.HK,德视佳,2019-10-15,主板,其他,[HK]外资企业,生物科技/医药,医疗保健业,HSCIH.HI,恒生综合行业指数-医疗保健业,生物科技/医药,hsics
1847.HK,云南建投混凝土,2019-10-31,主板,其他,[HK]雅江水电站;万得(港股)中国企业综合指数成份;[HK]国企;[HK]地方国企,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
1848.HK,中国飞机租赁,2014-07-11,主板,教育/服务,万得(港股)中国企业综合指数成份;[HK]国企;[HK]光大系;[HK]融资租赁;[HK]央企;[HK]现代服务业;[HK]一带一路,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
1849.HK,秀商时代控股,2019-06-26,主板,TMT/互联网,[HK]ChatGPT;[HK]AIGC;[HK]外资企业,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
1850.HK,美好生活集团控股,2017-04-18,主板,其他,万得(港股)中国企业综合指数成份,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
1851.HK,银杏教育,2019-01-18,主板,教育/服务,万得(港股)中国企业综合指数成份;[HK]中资教育,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
1853.HK,春城热力,2019-10-24,主板,其他,万得(港股)中国企业综合指数成份;[HK]国企;[HK]地方国企,其他,公用事业,HSCIUT.HI,恒生综合行业指数-公用事业,其他,fallback
1854.HK,中国万天控股,2016-10-13,主板,其他,万得(港股)中国企业综合指数成份;[HK]外资企业,消费/零售,必需性消费,HSCICS.HI,恒生综合行业指数-必需性消费,消费/零售,hsics
1855.HK,中庆股份,2021-01-06,主板,其他,万得(港股)中国企业综合指数成份,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
1856.HK,依波路,2014-07-11,主板,其他,万得(港股)中国企业综合指数成份;[HK]外资企业;[HK]奢侈品,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
1857.HK,中国光大水务,2019-05-08,主板,其他,万得(港股)中国企业综合指数成份;[HK]中概股回归;[HK]央企;[HK]国企,其他,公用事业,HSCIUT.HI,恒生综合行业指数-公用事业,其他,fallback
1858.HK,春立医疗,2015-03-11,主板,生物科技/医药,万得(港股)中国企业综合指数成份;[HK]医疗耗材;[HK]港股通;[HK]医疗器械,生物科技/医药,医疗保健业,HSCIH.HI,恒生综合行业指数-医疗保健业,生物科技/医药,hsics
1860.HK,汇量科技,2018-12-12,主板,TMT/互联网,[HK]GEO;[HK]DeepSeek;万得(港股)中国企业综合指数成份;[HK]AIGC;[HK]港股通;[HK]SaaS;[HK]核心资产;[HK]人工智能;[HK]网络科技股;[HK]文化传媒;[HK]云计算,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
1861.HK,保宝龙科技,2019-06-21,主板,其他,万得(港股)中国企业综合指数成份;[HK]外资企业,工业/制造,原材料业,HSCIMT.HI,恒生综合行业指数-原材料业,工业/制造,hsics
1862.HK,景瑞控股,2013-10-31,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]内地房地产,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
1863.HK,中国龙天集团,2010-04-29,主板,其他,万得(港股)中国企业综合指数成份;[HK]新材料,工业/制造,原材料业,HSCIMT.HI,恒生综合行业指数-原材料业,工业/制造,hsics
1865.HK,鹏高控股集团,2019-03-27,主板,其他,,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
1866.HK,中国心连心化肥,2009-12-08,主板,其他,万得(港股)中国企业综合指数成份;[HK]农业股;[HK]中概股回归;[HK]农业现代化;[HK]生态农业,工业/制造,原材料业,HSCIMT.HI,恒生综合行业指数-原材料业,工业/制造,hsics
1867.HK,标准发展集团,2017-01-12,主板,其他,万得(港股)中国企业综合指数成份,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
1868.HK,同方友友,2006-12-15,主板,其他,万得(港股)中国企业综合指数成份;[HK]LED照明;[HK]央企;[HK]合资企业;[HK]国企,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
1869.HK,猫屎咖啡控股,2016-06-30,主板,消费/零售,万得(港股)中国企业综合指数成份;[HK]香港本地消费;[HK]香港本地股;[HK]外资企业,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
1870.HK,益美国际控股,2019-11-08,主板,其他,万得(港股)中国企业综合指数成份,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
1871.HK,向中国际,2019-10-24,主板,教育/服务,万得(港股)中国企业综合指数成份;[HK]中资教育,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
1872.HK,冠轈控股,2019-02-28,主板,其他,[HK]外资企业,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
1873.HK,维亚生物,2019-05-09,主板,生物科技/医药,万得(港股)中国企业综合指数成份;[HK]CXO;[HK]创新药;[HK]生物医疗,生物科技/医药,医疗保健业,HSCIH.HI,恒生综合行业指数-医疗保健业,生物科技/医药,hsics
1875.HK,东曜药业-B,2019-11-08,主板,生物科技/医药,万得(港股)中国企业综合指数成份;[HK]未盈利生物科技,生物科技/医药,医疗保健业,HSCIH.HI,恒生综合行业指数-医疗保健业,生物科技/医药,hsics
1876.HK,百威亚太,2019-09-30,主板,消费/零售,万得(港股)中国企业综合指数成份;[HK]新经济;[HK]港股通;[HK]啤酒;[HK]节假日;[HK]蓝筹股;[HK]核心资产,消费/零售,必需性消费,HSCICS.HI,恒生综合行业指数-必需性消费,消费/零售,hsics
1877.HK,君实生物,2018-12-24,主板,生物科技/医药,万得(港股)中国企业综合指数成份;[HK]港股通;[HK]新冠肺炎;[HK]高瓴资本;[HK]创新药;[HK]抗肿瘤;[HK]生物医疗,生物科技/医药,医疗保健业,HSCIH.HI,恒生综合行业指数-医疗保健业,生物科技/医药,hsics
1878.HK,南戈壁,2010-01-29,主板,其他,万得(港股)中国企业综合指数成份;[HK]煤炭,新能源/汽车,能源业,HSCIEN.HI,恒生综合行业指数-能源业,新能源/汽车,hsics
1879.HK,曦智科技-P,2026-04-28,主板,其他,万得(港股)中国企业综合指数成份;[HK]新经济;[HK]次新股,TMT/互联网,资讯科技业,HSCIIT.HI,恒生综合行业指数-信息科技业,TMT/互联网,hsics
1880.HK,中国中免,2022-08-25,主板,其他,[HK]养老产业;[HK]凤凰之星最佳港股;万得(港股)中国企业综合指数成份;[HK]新经济;[HK]港股通;[HK]核心资产;[HK]国企;[HK]央企,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
1881.HK,富豪产业信托,2007-03-30,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]外资企业;[HK]房地产信托,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
1882.HK,海天国际,2006-12-22,主板,其他,万得(港股)中国企业综合指数成份;[HK]老经济;[HK]港股通;[HK]纳入MSCI香港,工业/制造,工业,HSCIIN.HI,恒生综合行业指数-工业,工业/制造,hsics
1883.HK,中信国际电讯,2007-04-03,主板,TMT/互联网,万得(港股)中国企业综合指数成份;[HK]港股通;[HK]中信系;[HK]国企;[HK]网络安全;[HK]一带一路;[HK]中资电信;[HK]移动互联网;[HK]央企,TMT/互联网,电讯业,HSCITC.HI,恒生综合行业指数-电讯业,TMT/互联网,hsics
1884.HK,EPRINT集团,2013-12-03,主板,教育/服务,万得(港股)中国企业综合指数成份;[HK]现代服务业;[HK]外资企业,工业/制造,工业,HSCIIN.HI,恒生综合行业指数-工业,工业/制造,hsics
1888.HK,建滔积层板,2006-12-07,主板,TMT/互联网,万得(港股)中国企业综合指数成份;[HK]新经济;[HK]港股通;[HK]蓝筹股;[HK]核心资产;[HK]手机产业;[HK]纳入MSCI香港;[HK]5G,工业/制造,工业,HSCIIN.HI,恒生综合行业指数-工业,工业/制造,hsics
1889.HK,三爱健康集团,2007-02-01,主板,生物科技/医药,万得(港股)中国企业综合指数成份;[HK]生物医疗,生物科技/医药,医疗保健业,HSCIH.HI,恒生综合行业指数-医疗保健业,生物科技/医药,hsics
1890.HK,中国科培,2019-01-25,主板,教育/服务,万得(港股)中国企业综合指数成份;[HK]中资教育;[HK]教育,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
1891.HK,兴合控股,2019-03-15,主板,其他,[HK]外资企业,工业/制造,原材料业,HSCIMT.HI,恒生综合行业指数-原材料业,工业/制造,hsics
1894.HK,恒益控股,2018-10-12,主板,其他,万得(港股)中国企业综合指数成份;[HK]外资企业,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
