wind_norm,name,ede_list_date,board,industry_concept,concepts,industry_hsics,hsics_l1_name,hsics_index_code,hsics_index_name,industry,industry_source
0001.HK,长和,1972-11-01,主板,其他,万得(港股)中国企业综合指数成份;[HK]老经济;[HK]港股通;[HK]香港本地股;[HK]蓝筹股;[HK]核心资产;[HK]长和系,其他,综合企业,HSCICO.HI,恒生综合行业指数-综合企业,其他,fallback
0002.HK,中电控股,1980-01-02,主板,消费/零售,万得(港股)中国企业综合指数成份;[HK]老经济;[HK]港股通;[HK]香港本地股;[HK]香港本地消费;[HK]公用事业;[HK]蓝筹股;[HK]核心资产,其他,公用事业,HSCIUT.HI,恒生综合行业指数-公用事业,消费/零售,concept
0003.HK,香港中华煤气,1960-12-31,主板,消费/零售,万得(港股)中国企业综合指数成份;[HK]老经济;[HK]港股通;[HK]香港本地消费;[HK]公用事业;[HK]蓝筹股;[HK]核心资产;[HK]外资企业,其他,公用事业,HSCIUT.HI,恒生综合行业指数-公用事业,消费/零售,concept
0004.HK,九龙仓集团,1921-01-01,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]港股通;[HK]香港本地股;[HK]内地房地产;[HK]蓝筹地产;[HK]物业租赁;[HK]纳入MSCI香港,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0005.HK,汇丰控股,1980-01-02,主板,金融,[HK]港股通;[HK]香港本地股;[HK]蓝筹股;[HK]核心资产;[HK]本地银行;[HK]财产管理,金融,金融业,HSCIFN.HI,恒生综合行业指数-金融业,金融,hsics
0006.HK,电能实业,1980-01-02,主板,新能源/汽车,万得(港股)中国企业综合指数成份;[HK]老经济;[HK]港股通;[HK]公用事业;[HK]蓝筹股;[HK]核心资产;[HK]外资企业;[HK]长和系;[HK]智能电网,其他,公用事业,HSCIUT.HI,恒生综合行业指数-公用事业,新能源/汽车,concept
0007.HK,智富资源投资,2000-09-08,主板,其他,万得(港股)中国企业综合指数成份;[HK]外资企业,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
0008.HK,电讯盈科,1994-10-18,主板,TMT/互联网,万得(港股)中国企业综合指数成份;[HK]新经济;[HK]港股通;[HK]香港本地股;[HK]电信;[HK]移动互联网;[HK]外资企业;[HK]5G;[HK]长和系,TMT/互联网,电讯业,HSCITC.HI,恒生综合行业指数-电讯业,TMT/互联网,hsics
0010.HK,恒隆集团,1972-10-12,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]港股通;[HK]外资企业;[HK]蓝筹地产;[HK]内地房地产,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0012.HK,恒基地产,1981-07-23,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]港股通;[HK]香港本地股;[HK]蓝筹股;[HK]核心资产;[HK]蓝筹地产;[HK]外资企业,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0013.HK,和黄医药,2021-06-30,主板,生物科技/医药,[HK]养老产业;万得(港股)中国企业综合指数成份;[HK]港股通;[HK]CXO;[HK]核心资产;[HK]中概股回归,生物科技/医药,医疗保健业,HSCIH.HI,恒生综合行业指数-医疗保健业,生物科技/医药,hsics
0014.HK,希慎兴业,1981-09-18,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]港股通;[HK]蓝筹地产;[HK]物业租赁,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0016.HK,新鸿基地产,1972-09-08,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]港股通;[HK]香港本地股;[HK]蓝筹股;[HK]核心资产;[HK]蓝筹地产;[HK]外资企业;[HK]物业投资;[HK]现代服务业,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0017.HK,新世界发展,1972-11-23,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]港股通;[HK]核心资产;[HK]连锁酒店;[HK]物业投资;[HK]蓝筹地产,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0018.HK,东方传媒集团,1987-08-18,主板,TMT/互联网,万得(港股)中国企业综合指数成份;[HK]外资企业;[HK]文化传媒;[HK]影视传媒,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
0019.HK,太古股份公司A,1973-05-01,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]老经济;[HK]港股通;[HK]蓝筹股;[HK]外资企业;[HK]物业租赁;[HK]蓝筹地产,其他,综合企业,HSCICO.HI,恒生综合行业指数-综合企业,地产/建筑,concept
0020.HK,商汤-W,2021-12-30,主板,TMT/互联网,[HK]AIPC指数;[HK]AI AGENT(小龙虾);[HK]基础大模型;[HK]DeepSeek;[HK]AIGC备案;万得(港股)中国企业综合指数成份;[HK]ChatGPT;[HK]AIGC;[HK]新经济;[HK]港股通;[HK]同股不同权;[HK]核心资产;[HK]互联网;[HK]人工智能;[HK]云计算;[HK]外资企业,TMT/互联网,资讯科技业,HSCIIT.HI,恒生综合行业指数-信息科技业,TMT/互联网,hsics
0021.HK,大中华控股,1954-03-01,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]中资物业管理;[HK]内地房地产,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0022.HK,茂盛控股,1972-12-14,主板,其他,万得(港股)中国企业综合指数成份;[HK]外资企业,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0023.HK,东亚银行,1921-01-01,主板,金融,万得(港股)中国企业综合指数成份;[HK]港股通;[HK]香港本地股;[HK]本地银行;[HK]财产管理,金融,金融业,HSCIFN.HI,恒生综合行业指数-金融业,金融,hsics
0025.HK,CHEVALIER INT'L,1984-12-05,主板,教育/服务,万得(港股)中国企业综合指数成份;[HK]连锁快餐店;[HK]现代服务业,其他,综合企业,HSCICO.HI,恒生综合行业指数-综合企业,教育/服务,concept
0026.HK,中华汽车,1962-01-01,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]香港本地股;[HK]物业投资,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0027.HK,银河娱乐,1991-10-07,主板,其他,万得(港股)中国企业综合指数成份;[HK]新经济;[HK]港股通;[HK]蓝筹股;[HK]核心资产;[HK]外资企业;[HK]博彩,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
0028.HK,天安,1987-03-18,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]外资企业;[HK]内地房地产,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0029.HK,达力集团,1980-01-04,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]内地房地产,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0030.HK,云白国际,1991-10-09,主板,TMT/互联网,万得(港股)中国企业综合指数成份;[HK]工业大麻;[HK]移动互联网,生物科技/医药,医疗保健业,HSCIH.HI,恒生综合行业指数-医疗保健业,生物科技/医药,hsics
0031.HK,航天控股,1981-08-25,主板,工业/制造,万得(港股)中国企业综合指数成份;[HK]军工;[HK]卫星导航;[HK]国企;[HK]央企,工业/制造,工业,HSCIIN.HI,恒生综合行业指数-工业,工业/制造,hsics
0032.HK,港通控股,1974-07-30,主板,其他,万得(港股)中国企业综合指数成份;[HK]香港本地股;[HK]智能交通,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
0033.HK,INTL GENIUS,2007-11-19,主板,其他,万得(港股)中国企业综合指数成份,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
0034.HK,九龙建业,1995-07-04,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]香港本地股;[HK]内地房地产;[HK]外资企业,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0035.HK,远东发展,1972-09-21,主板,地产/建筑,[HK]外资企业;[HK]物业投资,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0036.HK,远东控股国际,1973-02-12,主板,其他,万得(港股)中国企业综合指数成份;[HK]外资企业,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0037.HK,远东酒店实业,1979-07-03,主板,其他,万得(港股)中国企业综合指数成份;[HK]连锁酒店,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
0038.HK,第一拖拉机股份,1997-06-23,主板,其他,万得(港股)中国企业综合指数成份;[HK]港股通;[HK]农业股;[HK]国企改革;[HK]生态农业;[HK]央企;[HK]农业现代化;[HK]国企,工业/制造,工业,HSCIIN.HI,恒生综合行业指数-工业,工业/制造,hsics
0039.HK,中国北大荒,2001-01-16,主板,其他,万得(港股)中国企业综合指数成份,消费/零售,必需性消费,HSCICS.HI,恒生综合行业指数-必需性消费,消费/零售,hsics
0040.HK,金山科技工业,1984-07-02,主板,其他,万得(港股)中国企业综合指数成份,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
0041.HK,鹰君,1980-01-02,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]港股通;[HK]外资企业;[HK]物业租赁;[HK]房地产信托;[HK]连锁酒店,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0042.HK,东北电气,1995-07-06,主板,新能源/汽车,[HK]雅江水电站;万得(港股)中国企业综合指数成份;[HK]电力设备;[HK]智能电网,工业/制造,工业,HSCIIN.HI,恒生综合行业指数-工业,工业/制造,hsics
0045.HK,大酒店,1921-01-01,主板,其他,万得(港股)中国企业综合指数成份;[HK]外资企业;[HK]连锁酒店,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
0046.HK,科联系统,1998-05-18,主板,TMT/互联网,万得(港股)中国企业综合指数成份;[HK]软件外包;[HK]外资企业,TMT/互联网,资讯科技业,HSCIIT.HI,恒生综合行业指数-信息科技业,TMT/互联网,hsics
0048.HK,中国汽车内饰,2010-09-29,主板,其他,万得(港股)中国企业综合指数成份,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
0050.HK,香港小轮(集团),1921-01-01,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]物业投资;[HK]外资企业,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0051.HK,海港企业,1971-02-15,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]香港本地股;[HK]物业投资;[HK]内地房地产,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
0052.HK,大快活集团,1991-10-09,主板,消费/零售,万得(港股)中国企业综合指数成份;[HK]香港本地消费;[HK]香港本地股;[HK]现代服务业;[HK]外资企业;[HK]连锁快餐店,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
0053.HK,国浩集团,1983-05-03,主板,地产/建筑,[HK]外资企业;[HK]物业投资,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0055.HK,中星集团控股,1992-09-10,主板,其他,万得(港股)中国企业综合指数成份,工业/制造,工业,HSCIIN.HI,恒生综合行业指数-工业,工业/制造,hsics
0057.HK,震雄集团,1991-10-22,主板,工业/制造,万得(港股)中国企业综合指数成份;[HK]外资企业;[HK]高端装备制造,工业/制造,工业,HSCIIN.HI,恒生综合行业指数-工业,工业/制造,hsics
0058.HK,新威国际,1999-09-03,主板,其他,万得(港股)中国企业综合指数成份;[HK]外资企业,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0059.HK,天誉置业,1993-11-16,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]内地房地产,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0060.HK,香港食品投资,1992-12-16,主板,教育/服务,万得(港股)中国企业综合指数成份;[HK]外资企业;[HK]现代服务业;[HK]连锁快餐店,消费/零售,必需性消费,HSCICS.HI,恒生综合行业指数-必需性消费,消费/零售,hsics
0061.HK,绿领控股,1999-07-06,主板,其他,万得(港股)中国企业综合指数成份;[HK]小金属,新能源/汽车,能源业,HSCIEN.HI,恒生综合行业指数-能源业,新能源/汽车,hsics
0062.HK,载通,1961-05-01,主板,教育/服务,万得(港股)中国企业综合指数成份;[HK]现代服务业;[HK]外资企业,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
0063.HK,中亚烯谷集团,1986-02-26,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]物业投资;[HK]外资企业,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0064.HK,结好控股,2002-06-06,主板,金融,万得(港股)中国企业综合指数成份;[HK]外资企业;[HK]财产管理,金融,金融业,HSCIFN.HI,恒生综合行业指数-金融业,金融,hsics
0065.HK,弘海高新资源,2001-08-30,主板,其他,万得(港股)中国企业综合指数成份,新能源/汽车,能源业,HSCIEN.HI,恒生综合行业指数-能源业,新能源/汽车,hsics
0066.HK,港铁公司,2000-10-05,主板,消费/零售,万得(港股)中国企业综合指数成份;[HK]老经济;[HK]港股通;[HK]香港本地股;[HK]香港本地消费;[HK]蓝筹股;[HK]核心资产;[HK]物业投资;[HK]外资企业;[HK]现代服务业,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
0068.HK,群核科技,2026-04-17,主板,其他,万得(港股)中国企业综合指数成份;[HK]次新股,TMT/互联网,资讯科技业,HSCIIT.HI,恒生综合行业指数-信息科技业,TMT/互联网,hsics
0069.HK,香格里拉(亚洲),1993-06-17,主板,其他,万得(港股)中国企业综合指数成份;[HK]节假日;[HK]外资企业;[HK]连锁酒店,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
0070.HK,金粤控股,1973-01-01,主板,其他,万得(港股)中国企业综合指数成份;[HK]外资企业;[HK]博彩,其他,综合企业,HSCICO.HI,恒生综合行业指数-综合企业,其他,fallback
0071.HK,美丽华酒店,1970-07-01,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]香港本地股;[HK]外资企业;[HK]物业投资;[HK]连锁酒店,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0072.HK,超媒体控股,2009-09-09,主板,TMT/互联网,万得(港股)中国企业综合指数成份;[HK]文化传媒;[HK]影视传媒,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
0073.HK,亚洲果业,2009-11-26,主板,其他,万得(港股)中国企业综合指数成份;[HK]农业股;[HK]生态农业;[HK]农业现代化,消费/零售,必需性消费,HSCICS.HI,恒生综合行业指数-必需性消费,消费/零售,hsics
0075.HK,渝太地产,1984-11-12,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]物业投资,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0076.HK,谊砾控股,1984-09-24,主板,其他,万得(港股)中国企业综合指数成份,工业/制造,工业,HSCIIN.HI,恒生综合行业指数-工业,工业/制造,hsics
0077.HK,进智公共交通,2004-04-15,主板,教育/服务,万得(港股)中国企业综合指数成份;[HK]现代服务业;[HK]外资企业,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
0078.HK,REGAL INT'L,1980-11-03,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]房地产信托;[HK]物业投资;[HK]外资企业;[HK]连锁酒店,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
0079.HK,世纪建业,1993-07-08,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]物业投资;[HK]外资企业,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
0080.HK,CAI控股,2011-01-06,主板,教育/服务,万得(港股)中国企业综合指数成份;[HK]现代服务业,金融,金融业,HSCIFN.HI,恒生综合行业指数-金融业,金融,hsics
0081.HK,中国海外宏洋集团,1984-04-26,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]港股通;[HK]核心资产;[HK]租售同权;[HK]内地房地产;[HK]央企;[HK]国企;[HK]中建系;[HK]物业投资,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0082.HK,疯狂体育,1991-10-25,主板,TMT/互联网,万得(港股)中国企业综合指数成份;[HK]直播;[HK]手机游戏;[HK]影视传媒;[HK]网络游戏,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
0083.HK,信和置业,1981-04-08,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]港股通;[HK]香港本地股;[HK]蓝筹股;[HK]核心资产;[HK]物业投资;[HK]蓝筹地产;[HK]外资企业,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0084.HK,宝光实业,1972-10-02,主板,其他,万得(港股)中国企业综合指数成份;[HK]奢侈品;[HK]外资企业,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
0085.HK,中电华大科技,1997-07-25,主板,TMT/互联网,万得(港股)中国企业综合指数成份;[HK]芯片替代;[HK]央企;[HK]国企,TMT/互联网,资讯科技业,HSCIIT.HI,恒生综合行业指数-信息科技业,TMT/互联网,hsics
0086.HK,新鸿基公司,1983-10-03,主板,金融,万得(港股)中国企业综合指数成份;[HK]香港本地股;[HK]本地券商;[HK]财产管理;[HK]外资企业,金融,金融业,HSCIFN.HI,恒生综合行业指数-金融业,金融,hsics
0087.HK,太古股份公司B,1973-05-01,主板,其他,万得(港股)中国企业综合指数成份;[HK]老经济;[HK]港股通;[HK]外资企业,其他,综合企业,HSCICO.HI,恒生综合行业指数-综合企业,其他,fallback
0088.HK,TAI CHEUNG HOLD,1972-12-11,主板,地产/建筑,[HK]外资企业;[HK]物业投资,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0089.HK,大生地产,1973-02-21,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]物业投资;[HK]外资企业,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0090.HK,普星能量,2009-07-10,主板,新能源/汽车,万得(港股)中国企业综合指数成份;[HK]新能源,其他,公用事业,HSCIUT.HI,恒生综合行业指数-公用事业,新能源/汽车,concept
0092.HK,冠军科技集团,1992-08-19,主板,教育/服务,万得(港股)中国企业综合指数成份;[HK]现代服务业,TMT/互联网,资讯科技业,HSCIIT.HI,恒生综合行业指数-信息科技业,TMT/互联网,hsics
0093.HK,零在科技金融,1991-10-23,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]内地房地产;[HK]物业投资,金融,金融业,HSCIFN.HI,恒生综合行业指数-金融业,金融,hsics
0094.HK,绿心集团,1988-06-21,主板,其他,[HK]外资企业,工业/制造,原材料业,HSCIMT.HI,恒生综合行业指数-原材料业,工业/制造,hsics
0095.HK,绿景中国地产,2005-12-02,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]深圳本地;[HK]内地房地产,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0096.HK,YUSEI,2005-10-13,主板,其他,万得(港股)中国企业综合指数成份;[HK]外资企业,工业/制造,工业,HSCIIN.HI,恒生综合行业指数-工业,工业/制造,hsics
0097.HK,恒基发展,1972-11-06,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]物业投资;[HK]外资企业,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
0098.HK,兴发铝业,2008-03-31,主板,其他,万得(港股)中国企业综合指数成份;[HK]小金属;[HK]地方国企;[HK]国企,工业/制造,原材料业,HSCIMT.HI,恒生综合行业指数-原材料业,工业/制造,hsics
0099.HK,王氏国际,1983-12-15,主板,其他,万得(港股)中国企业综合指数成份,工业/制造,工业,HSCIIN.HI,恒生综合行业指数-工业,工业/制造,hsics
0100.HK,MINIMAX-W,2026-01-09,主板,TMT/互联网,[HK]AI AGENT(小龙虾);[HK]基础大模型;[HK]GEO;万得(港股)中国企业综合指数成份;[HK]新经济;[HK]次新股;[HK]同股不同权;[HK]核心资产;[HK]人工智能,TMT/互联网,资讯科技业,HSCIIT.HI,恒生综合行业指数-信息科技业,TMT/互联网,hsics
0101.HK,恒隆地产,1980-01-02,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]港股通;[HK]香港本地股;[HK]核心资产;[HK]物业投资;[HK]内地房地产;[HK]蓝筹地产;[HK]外资企业,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0103.HK,首佳科技,1992-04-09,主板,其他,万得(港股)中国企业综合指数成份;[HK]新材料;[HK]地方国企;[HK]国企,工业/制造,工业,HSCIIN.HI,恒生综合行业指数-工业,工业/制造,hsics
0104.HK,ASIA COMM HOLD,1987-07-29,主板,其他,万得(港股)中国企业综合指数成份;[HK]外资企业;[HK]黄金珠宝,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
0105.HK,凯联国际酒店,1985-10-24,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]香港本地股;[HK]外资企业;[HK]物业投资,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0106.HK,朗诗绿色管理,1986-03-24,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]内地房地产,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0107.HK,四川成渝高速公路,1997-10-07,主板,其他,万得(港股)中国企业综合指数成份;[HK]港股通;[HK]路桥运营;[HK]国企改革;[HK]国企;[HK]地方国企,工业/制造,工业,HSCIIN.HI,恒生综合行业指数-工业,工业/制造,hsics
0108.HK,国锐生活,1973-02-09,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]中资物业管理;[HK]物业投资;[HK]内地房地产,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0110.HK,中国长远,2000-02-16,主板,其他,万得(港股)中国企业综合指数成份;[HK]小金属,TMT/互联网,资讯科技业,HSCIIT.HI,恒生综合行业指数-信息科技业,TMT/互联网,hsics
0111.HK,信达国际控股,2000-08-01,主板,金融,万得(港股)中国企业综合指数成份;[HK]本地券商;[HK]央企;[HK]财产管理;[HK]中资券商;[HK]国企,金融,金融业,HSCIFN.HI,恒生综合行业指数-金融业,金融,hsics
0113.HK,迪生创建,1973-03-15,主板,其他,万得(港股)中国企业综合指数成份;[HK]奢侈品;[HK]外资企业,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
0114.HK,HERALD HOLD,1970-03-12,主板,教育/服务,万得(港股)中国企业综合指数成份;[HK]现代服务业,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
0115.HK,钧濠集团,1981-10-29,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]内地房地产;[HK]外资企业;[HK]物业投资,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0116.HK,周生生,1973-04-06,主板,消费/零售,万得(港股)中国企业综合指数成份;[HK]香港本地股;[HK]香港零售;[HK]奢侈品;[HK]黄金珠宝,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
0117.HK,天利控股集团,2007-12-21,主板,其他,万得(港股)中国企业综合指数成份;[HK]集成电路,工业/制造,工业,HSCIIN.HI,恒生综合行业指数-工业,工业/制造,hsics
0118.HK,大同机械,1988-12-12,主板,其他,万得(港股)中国企业综合指数成份,工业/制造,工业,HSCIIN.HI,恒生综合行业指数-工业,工业/制造,hsics
0119.HK,保利置业集团,1973-08-30,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]港股通;[HK]国企;[HK]内地房地产;[HK]央企,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0120.HK,COSMOPOL INT'L,1989-11-01,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]外资企业;[HK]物业投资,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0122.HK,鳄鱼恤,1971-01-01,主板,消费/零售,万得(港股)中国企业综合指数成份;[HK]外资企业;[HK]品牌服饰,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0123.HK,越秀地产,1992-12-15,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]港股通;[HK]核心资产;[HK]中概股回归;[HK]蓝筹地产;[HK]国企;[HK]地方国企;[HK]纳入MSCI香港;[HK]内地房地产,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0124.HK,粤海置地,1997-08-08,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]内地房地产;[HK]地方国企;[HK]国企,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0125.HK,新兴光学,1999-05-25,主板,教育/服务,[HK]现代服务业;[HK]外资企业,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
0126.HK,佳宁娜,1991-11-01,主板,其他,万得(港股)中国企业综合指数成份;[HK]外资企业;[HK]连锁快餐店,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
0127.HK,华人置业,1921-01-01,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]香港本地股;[HK]物业投资;[HK]连锁酒店;[HK]外资企业,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0128.HK,安宁控股,1972-11-16,主板,其他,万得(港股)中国企业综合指数成份;[HK]外资企业,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
0129.HK,泛海集团,1973-01-24,主板,其他,万得(港股)中国企业综合指数成份;[HK]外资企业;[HK]连锁酒店,金融,金融业,HSCIFN.HI,恒生综合行业指数-金融业,金融,hsics
0130.HK,慕诗国际,2002-02-11,主板,消费/零售,万得(港股)中国企业综合指数成份;[HK]外资企业;[HK]品牌服饰,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
0131.HK,卓能(集团),1988-08-15,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]物业投资;[HK]外资企业,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0132.HK,兴业控股,1973-05-18,主板,生物科技/医药,万得(港股)中国企业综合指数成份;[HK]健康产业;[HK]地方国企;[HK]国企,其他,综合企业,HSCICO.HI,恒生综合行业指数-综合企业,生物科技/医药,concept
